,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,1.458,1.475,1.452,1.468,1.458,1.475,1.452,1.468,2369668.6,2369668.6
1,2021-08-28,1.519,1.53,1.441,1.458,1.519,1.53,1.441,1.458,78274762.8,78274762.8
2,2021-08-27,1.372,1.52,1.35,1.518,1.372,1.52,1.35,1.518,142531594.6,142531594.6
3,2021-08-26,1.52701,1.54773,1.362,1.372,1.52701,1.54773,1.362,1.372,143533351.4,143533351.4
4,2021-08-25,1.47434,1.55352,1.41934,1.52737,1.47434,1.55352,1.41934,1.52737,130368043.8,130368043.8
5,2021-08-24,1.62367,1.63,1.43515,1.47371,1.62367,1.63,1.43515,1.47371,168472769.1,168472769.1
6,2021-08-23,1.62299,1.68612,1.59006,1.62482,1.62299,1.68612,1.59006,1.62482,149791238.6,149791238.6
7,2021-08-22,1.583,1.6686,1.55557,1.62299,1.583,1.6686,1.55557,1.62299,163992144.0,163992144.0
8,2021-08-21,1.54942,1.7,1.51182,1.58324,1.54942,1.7,1.51182,1.58324,260862252.0,260862252.0
9,2021-08-20,1.47055,1.56893,1.45067,1.54956,1.47055,1.56893,1.45067,1.54956,232074045.3,232074045.3
10,2021-08-19,1.33419,1.4707,1.3004,1.47056,1.33419,1.4707,1.3004,1.47056,167895431.9,167895431.9
11,2021-08-18,1.34998,1.40949,1.27189,1.33364,1.34998,1.40949,1.27189,1.33364,207837866.4,207837866.4
12,2021-08-17,1.41924,1.533,1.33,1.34998,1.41924,1.533,1.33,1.34998,248378838.6,248378838.6
13,2021-08-16,1.46666,1.56,1.4135,1.41963,1.46666,1.56,1.4135,1.41963,250983686.7,250983686.7
14,2021-08-15,1.44134,1.486,1.36739,1.46666,1.44134,1.486,1.36739,1.46666,165026629.9,165026629.9
15,2021-08-14,1.511,1.51249,1.40301,1.4416,1.511,1.51249,1.40301,1.4416,206977533.2,206977533.2
16,2021-08-13,1.32168,1.51597,1.31454,1.51075,1.32168,1.51597,1.31454,1.51075,293333695.2,293333695.2
17,2021-08-12,1.37148,1.47929,1.25,1.32175,1.37148,1.47929,1.25,1.32175,367785059.4,367785059.4
18,2021-08-11,1.15642,1.42709,1.15256,1.37115,1.15642,1.42709,1.15256,1.37115,489110484.5,489110484.5
19,2021-08-10,1.12626,1.17888,1.10852,1.15611,1.12626,1.17888,1.10852,1.15611,198586008.1,198586008.1
20,2021-08-09,1.08142,1.15861,1.03802,1.12629,1.08142,1.15861,1.03802,1.12629,171591288.4,171591288.4
21,2021-08-08,1.16647,1.1796,1.06844,1.08129,1.16647,1.1796,1.06844,1.08129,165071670.0,165071670.0
22,2021-08-07,1.08096,1.19662,1.06858,1.16618,1.08096,1.19662,1.06858,1.16618,276589477.7,276589477.7
23,2021-08-06,1.06561,1.09797,1.03515,1.08093,1.06561,1.09797,1.03515,1.08093,119365962.6,119365962.6
24,2021-08-05,1.05341,1.07453,1.011,1.06558,1.05341,1.07453,1.011,1.06558,138199453.0,138199453.0
25,2021-08-04,1.02249,1.07096,1.00844,1.05387,1.02249,1.07096,1.00844,1.05387,112676829.2,112676829.2
26,2021-08-03,1.04553,1.06,1.005,1.02249,1.04553,1.06,1.005,1.02249,109219073.2,109219073.2
27,2021-08-02,1.04963,1.07994,1.02,1.0454,1.04963,1.07994,1.02,1.0454,134379932.5,134379932.5
28,2021-08-01,1.08248,1.135,1.04118,1.04943,1.08248,1.135,1.04118,1.04943,217134999.5,217134999.5
