,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,0.05707,0.05747,0.05646,0.05725,0.05707,0.05747,0.05646,0.05725,1954795.0,1954795.0
1,2021-08-28,0.05737,0.05899,0.05564,0.05699,0.05737,0.05899,0.05564,0.05699,114041429.2,114041429.2
2,2021-08-27,0.0557,0.05784,0.05197,0.05737,0.0557,0.05784,0.05197,0.05737,62263724.9,62263724.9
3,2021-08-26,0.06064,0.063,0.05496,0.05573,0.06064,0.063,0.05496,0.05573,88603354.2,88603354.2
4,2021-08-25,0.05679,0.06349,0.0565,0.0608,0.05679,0.06349,0.0565,0.0608,104604100.3,104604100.3
5,2021-08-24,0.05963,0.06658,0.05634,0.0568,0.05963,0.06658,0.05634,0.0568,218603022.4,218603022.4
6,2021-08-23,0.05858,0.06102,0.05831,0.05966,0.05858,0.06102,0.05831,0.05966,62977060.3,62977060.3
7,2021-08-22,0.0583,0.06055,0.05669,0.05858,0.0583,0.06055,0.05669,0.05858,52511857.2,52511857.2
8,2021-08-21,0.06072,0.06153,0.05767,0.0583,0.06072,0.06153,0.05767,0.0583,86774362.6,86774362.6
9,2021-08-20,0.05878,0.062,0.05688,0.06067,0.05878,0.062,0.05688,0.06067,107353564.9,107353564.9
10,2021-08-19,0.05248,0.059,0.05201,0.05882,0.05248,0.059,0.05201,0.05882,89721790.8,89721790.8
11,2021-08-18,0.05413,0.0557,0.05157,0.05248,0.05413,0.0557,0.05157,0.05248,106022636.7,106022636.7
12,2021-08-17,0.05869,0.061,0.05309,0.05413,0.05869,0.061,0.05309,0.05413,113981721.6,113981721.6
13,2021-08-16,0.06219,0.06349,0.05764,0.05862,0.06219,0.06349,0.05764,0.05862,231617101.9,231617101.9
14,2021-08-15,0.05813,0.06444,0.05584,0.06234,0.05813,0.06444,0.05584,0.06234,146914006.1,146914006.1
15,2021-08-14,0.06291,0.06367,0.05752,0.05813,0.06291,0.06367,0.05752,0.05813,106553846.5,106553846.5
16,2021-08-13,0.05594,0.065,0.0548,0.06291,0.05594,0.065,0.0548,0.06291,226457528.3,226457528.3
17,2021-08-12,0.05185,0.0595,0.04985,0.05591,0.05185,0.0595,0.04985,0.05591,211088043.0,211088043.0
18,2021-08-11,0.05013,0.05699,0.04972,0.05188,0.05013,0.05699,0.04972,0.05188,170836016.5,170836016.5
