,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,6.489,6.534,6.445,6.477,6.489,6.534,6.445,6.477,11344.6,11344.6
1,2021-08-28,6.632,6.67,6.417,6.489,6.632,6.67,6.417,6.489,687678.6,687678.6
2,2021-08-27,6.255,6.818,6.194,6.632,6.255,6.818,6.194,6.632,1525157.2,1525157.2
3,2021-08-26,6.7197,6.905,6.179,6.268,6.7197,6.905,6.179,6.268,2083614.96,2083614.96
4,2021-08-25,6.3196,7.0,6.1441,6.7179,6.3196,7.0,6.1441,6.7179,1661403.41,1661403.41
5,2021-08-24,7.0098,7.1334,6.3,6.3196,7.0098,7.1334,6.3,6.3196,1879678.76,1879678.76
6,2021-08-23,7.197,7.7,6.8667,7.0125,7.197,7.7,6.8667,7.0125,3267765.82,3267765.82
7,2021-08-22,6.1366,7.8698,6.08,7.1992,6.1366,7.8698,6.08,7.1992,8899866.33,8899866.33
8,2021-08-21,6.4108,6.4551,6.1265,6.132,6.4108,6.4551,6.1265,6.132,833036.74,833036.74
9,2021-08-20,6.0971,6.4574,6.0709,6.4011,6.0971,6.4574,6.0709,6.4011,1124147.28,1124147.28
10,2021-08-19,5.6623,6.32,5.5524,6.0879,5.6623,6.32,5.5524,6.0879,1145428.03,1145428.03
11,2021-08-18,5.8307,6.0778,5.5669,5.6637,5.8307,6.0778,5.5669,5.6637,1151351.9,1151351.9
12,2021-08-17,6.2364,6.4433,5.7367,5.83,6.2364,6.4433,5.7367,5.83,1347846.08,1347846.08
13,2021-08-16,6.375,6.8326,6.1647,6.2224,6.375,6.8326,6.1647,6.2224,1607076.19,1607076.19
14,2021-08-15,6.437,6.45,6.1031,6.375,6.437,6.45,6.1031,6.375,929356.93,929356.93
15,2021-08-14,6.7225,6.7323,6.1293,6.437,6.7225,6.7323,6.1293,6.437,1405206.8,1405206.8
16,2021-08-13,6.3603,6.76,6.2,6.7199,6.3603,6.76,6.2,6.7199,2108096.68,2108096.68
17,2021-08-12,5.7588,7.1647,5.5809,6.3626,5.7588,7.1647,5.5809,6.3626,8589298.5,8589298.5
18,2021-08-11,5.3037,5.9893,5.2862,5.7503,5.3037,5.9893,5.2862,5.7503,2441591.48,2441591.48
19,2021-08-10,5.1978,5.396,5.0618,5.3035,5.1978,5.396,5.0618,5.3035,1218795.65,1218795.65
20,2021-08-09,4.9088,5.3049,4.7099,5.2023,4.9088,5.3049,4.7099,5.2023,956287.41,956287.41
21,2021-08-08,5.1418,5.55,4.7837,4.9091,5.1418,5.55,4.7837,4.9091,1903223.22,1903223.22
22,2021-08-07,4.7967,5.3253,4.7643,5.1424,4.7967,5.3253,4.7643,5.1424,2289479.48,2289479.48
23,2021-08-06,4.5757,4.8105,4.4651,4.7906,4.5757,4.8105,4.4651,4.7906,2070138.94,2070138.94
24,2021-08-05,4.5168,4.6875,4.315,4.5702,4.5168,4.6875,4.315,4.5702,1825251.61,1825251.61
25,2021-08-04,4.2975,4.556,4.2031,4.5098,4.2975,4.556,4.2031,4.5098,5524790.63,5524790.63
26,2021-08-03,4.3559,4.4481,4.1748,4.2888,4.3559,4.4481,4.1748,4.2888,4145602.69,4145602.69
