,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,42.71,42.92,42.48,42.75,42.71,42.92,42.48,42.75,570.14,570.14
1,2021-08-28,43.31,44.58,42.29,42.65,43.31,44.58,42.29,42.65,31228.875,31228.875
2,2021-08-27,41.49,43.4,40.822,43.29,41.49,43.4,40.822,43.29,40195.636,40195.636
3,2021-08-26,44.314,44.667,40.935,41.46,44.314,44.667,40.935,41.46,84047.246,84047.246
4,2021-08-25,42.528,44.721,42.115,44.235,42.528,44.721,42.115,44.235,40708.507,40708.507
5,2021-08-24,44.745,44.975,41.678,42.544,44.745,44.975,41.678,42.544,52700.071,52700.071
6,2021-08-23,44.549,45.499,43.529,44.754,44.549,45.499,43.529,44.754,132739.353,132739.353
7,2021-08-22,42.621,44.686,42.505,44.472,42.621,44.686,42.505,44.472,47598.849,47598.849
8,2021-08-21,42.923,46.093,42.015,42.621,42.923,46.093,42.015,42.621,89177.189,89177.189
9,2021-08-20,40.956,43.7,40.821,42.863,40.956,43.7,40.821,42.863,69714.725,69714.725
10,2021-08-19,38.505,40.964,37.689,40.956,38.505,40.964,37.689,40.956,35852.401,35852.401
11,2021-08-18,39.371,40.274,37.96,38.505,39.371,40.274,37.96,38.505,67618.255,67618.255
12,2021-08-17,40.671,42.461,39.0,39.371,40.671,42.461,39.0,39.371,56448.397,56448.397
13,2021-08-16,42.109,43.734,40.02,40.622,42.109,43.734,40.02,40.622,97286.219,97286.219
14,2021-08-15,41.676,42.338,40.513,42.091,41.676,42.338,40.513,42.091,108221.545,108221.545
15,2021-08-14,42.777,43.153,40.141,41.65,42.777,43.153,40.141,41.65,51710.599,51710.599
16,2021-08-13,39.608,42.983,39.455,42.779,39.608,42.983,39.455,42.779,45807.184,45807.184
17,2021-08-12,41.408,42.537,38.598,39.619,41.408,42.537,38.598,39.619,56401.527,56401.527
18,2021-08-11,39.65,43.826,39.574,41.408,39.65,43.826,39.574,41.408,121201.023,121201.023
19,2021-08-10,39.274,40.924,38.759,39.609,39.274,40.924,38.759,39.609,55271.764,55271.764
20,2021-08-09,38.28,39.8,37.057,39.274,38.28,39.8,37.057,39.274,65685.608,65685.608
21,2021-08-08,39.621,40.5,37.959,38.294,39.621,40.5,37.959,38.294,103463.326,103463.326
22,2021-08-07,38.96,41.5,38.795,39.594,38.96,41.5,38.795,39.594,133602.15,133602.15
23,2021-08-06,39.149,39.579,37.6,38.96,39.149,39.579,37.6,38.96,86726.3,86726.3
24,2021-08-05,38.871,39.656,37.529,39.15,38.871,39.656,37.529,39.15,82359.638,82359.638
25,2021-08-04,37.895,42.99,37.296,38.891,37.895,42.99,37.296,38.891,201910.863,201910.863
26,2021-08-03,38.567,56.587,37.605,37.895,38.567,56.587,37.605,37.895,752623.749,752623.749
27,2021-08-02,38.594,38.784,36.832,38.491,38.594,38.784,36.832,38.491,54596.866,54596.866
28,2021-08-01,38.372,39.733,38.028,38.577,38.372,39.733,38.028,38.577,51682.493,51682.493
29,2021-07-31,38.735,40.596,37.694,38.338,38.735,40.596,37.694,38.338,66503.291,66503.291
30,2021-07-30,38.042,38.737,36.052,38.719,38.042,38.737,36.052,38.719,45352.197,45352.197
