,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,1.0956,1.1045,1.0827,1.1007,1.0956,1.1045,1.0827,1.1007,903343.0,903343.0
1,2021-08-28,1.0923,1.117,1.0612,1.0956,1.0923,1.117,1.0612,1.0956,16741983.24,16741983.24
2,2021-08-27,1.0366,1.0929,0.9893,1.0922,1.0366,1.0929,0.9893,1.0922,24055557.9,24055557.9
3,2021-08-26,1.1353,1.1505,1.0,1.0372,1.1353,1.1505,1.0,1.0372,29510066.9,29510066.9
4,2021-08-25,1.0967,1.137,1.0325,1.1355,1.0967,1.137,1.0325,1.1355,31455634.12,31455634.12
5,2021-08-24,1.1688,1.2854,1.07,1.0971,1.1688,1.2854,1.07,1.0971,59906585.27,59906585.27
6,2021-08-23,1.1339,1.1978,1.1259,1.1692,1.1339,1.1978,1.1259,1.1692,34517213.71,34517213.71
7,2021-08-22,1.0717,1.1441,1.0623,1.1339,1.0717,1.1441,1.0623,1.1339,40246612.69,40246612.69
8,2021-08-21,1.0886,1.0975,1.0424,1.0712,1.0886,1.0975,1.0424,1.0712,23287469.97,23287469.97
9,2021-08-20,1.053,1.0889,1.0356,1.0886,1.053,1.0889,1.0356,1.0886,22146039.54,22146039.54
10,2021-08-19,0.9863,1.0552,0.9646,1.0529,0.9863,1.0552,0.9646,1.0529,27143070.0,27143070.0
11,2021-08-18,1.0053,1.0283,0.9421,0.9861,1.0053,1.0283,0.9421,0.9861,34754419.24,34754419.24
12,2021-08-17,1.0796,1.1099,0.9949,1.0055,1.0796,1.1099,0.9949,1.0055,29597879.07,29597879.07
13,2021-08-16,1.1323,1.1605,1.0521,1.079,1.1323,1.1605,1.0521,1.079,31457423.04,31457423.04
14,2021-08-15,1.0843,1.14,1.0187,1.1328,1.0843,1.14,1.0187,1.1328,29326795.92,29326795.92
15,2021-08-14,1.0663,1.097,1.0211,1.0845,1.0663,1.097,1.0211,1.0845,30851074.15,30851074.15
16,2021-08-13,0.9703,1.067,0.9527,1.0663,0.9703,1.067,0.9527,1.0663,26180772.64,26180772.64
17,2021-08-12,1.017,1.0566,0.92,0.9701,1.017,1.0566,0.92,0.9701,35526529.91,35526529.91
18,2021-08-11,0.9365,1.0608,0.9365,1.0174,0.9365,1.0608,0.9365,1.0174,40933825.81,40933825.81
19,2021-08-10,0.9171,0.9474,0.8962,0.936,0.9171,0.9474,0.8962,0.936,26427731.67,26427731.67
20,2021-08-09,0.8726,0.9511,0.8606,0.917,0.8726,0.9511,0.8606,0.917,34216631.34,34216631.34
21,2021-08-08,0.9191,0.9388,0.8474,0.8723,0.9191,0.9388,0.8474,0.8723,25870471.4,25870471.4
22,2021-08-07,0.8826,0.9399,0.8682,0.9176,0.8826,0.9399,0.8682,0.9176,37127134.81,37127134.81
23,2021-08-06,0.8545,0.8966,0.8297,0.8824,0.8545,0.8966,0.8297,0.8824,32814570.01,32814570.01
24,2021-08-05,0.8497,0.8551,0.805,0.8545,0.8497,0.8551,0.805,0.8545,34103952.83,34103952.83
25,2021-08-04,0.8216,0.9305,0.7888,0.8502,0.8216,0.9305,0.7888,0.8502,31815469.02,31815469.02
26,2021-08-03,0.8183,0.8245,0.773,0.8212,0.8183,0.8245,0.773,0.8212,18110390.23,18110390.23
27,2021-08-02,0.7995,0.8294,0.7849,0.8183,0.7995,0.8294,0.7849,0.8183,21037944.64,21037944.64
28,2021-08-01,0.858,0.8685,0.7857,0.7994,0.858,0.8685,0.7857,0.7994,30961056.88,30961056.88
29,2021-07-31,0.8146,0.8669,0.7875,0.8577,0.8146,0.8669,0.7875,0.8577,46171238.37,46171238.37
30,2021-07-30,0.7456,0.8788,0.7452,0.8147,0.7456,0.8788,0.7452,0.8147,76235816.36,76235816.36
31,2021-07-29,0.7071,0.7515,0.6905,0.7457,0.7071,0.7515,0.6905,0.7457,20195163.37,20195163.37
32,2021-07-28,0.705,0.7171,0.6858,0.7072,0.705,0.7171,0.6858,0.7072,23101647.91,23101647.91
33,2021-07-27,0.6764,0.7063,0.6572,0.7047,0.6764,0.7063,0.6572,0.7047,21924971.84,21924971.84
34,2021-07-26,0.6698,0.7365,0.6653,0.6763,0.6698,0.7365,0.6653,0.6763,43262937.58,43262937.58
35,2021-07-25,0.6591,0.6749,0.639,0.6699,0.6591,0.6749,0.639,0.6699,21417245.84,21417245.84
36,2021-07-24,0.6449,0.6749,0.6383,0.6589,0.6449,0.6749,0.6383,0.6589,21047391.12,21047391.12
37,2021-07-23,0.6265,0.6458,0.6124,0.6447,0.6265,0.6458,0.6124,0.6447,21802212.61,21802212.61
38,2021-07-22,0.6127,0.6317,0.5969,0.6268,0.6127,0.6317,0.5969,0.6268,23597279.57,23597279.57
39,2021-07-21,0.5686,0.6208,0.5519,0.6127,0.5686,0.6208,0.5519,0.6127,25836413.46,25836413.46
40,2021-07-20,0.6054,0.6168,0.5475,0.5684,0.6054,0.6168,0.5475,0.5684,29237364.96,29237364.96
41,2021-07-19,0.6611,0.6667,0.5938,0.6055,0.6611,0.6667,0.5938,0.6055,29876596.51,29876596.51
42,2021-07-18,0.6342,0.6655,0.6208,0.6611,0.6342,0.6655,0.6208,0.6611,17447279.06,17447279.06
43,2021-07-17,0.6227,0.6465,0.6105,0.634,0.6227,0.6465,0.6105,0.634,23145141.77,23145141.77
44,2021-07-16,0.6537,0.6669,0.6146,0.6227,0.6537,0.6669,0.6146,0.6227,21218994.57,21218994.57
45,2021-07-15,0.6909,0.701,0.6422,0.6536,0.6909,0.701,0.6422,0.6536,24577711.21,24577711.21
46,2021-07-14,0.7145,0.7157,0.646,0.6909,0.7145,0.7157,0.646,0.6909,27713726.85,27713726.85
47,2021-07-13,0.6921,0.7208,0.6752,0.7143,0.6921,0.7208,0.6752,0.7143,24391623.46,24391623.46
48,2021-07-12,0.7032,0.722,0.6752,0.6922,0.7032,0.722,0.6752,0.6922,18577429.36,18577429.36
49,2021-07-11,0.6881,0.7158,0.6746,0.7031,0.6881,0.7158,0.6746,0.7031,16118153.92,16118153.92
50,2021-07-10,0.6996,0.7142,0.6705,0.6881,0.6996,0.7142,0.6705,0.6881,15735216.31,15735216.31
