,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,4.499,4.511,4.438,4.505,4.499,4.511,4.438,4.505,58129.7,58129.7
1,2021-08-28,4.693,4.713,4.428,4.5,4.693,4.713,4.428,4.5,1353500.7,1353500.7
2,2021-08-27,4.478,4.88,4.221,4.697,4.478,4.88,4.221,4.697,3047296.34,3047296.34
3,2021-08-26,5.0664,5.1382,4.452,4.475,5.0664,5.1382,4.452,4.475,2256188.38,2256188.38
4,2021-08-25,4.8841,5.1501,4.6667,5.0572,4.8841,5.1501,4.6667,5.0572,2588338.79,2588338.79
5,2021-08-24,5.3692,5.5393,4.7045,4.8882,5.3692,5.5393,4.7045,4.8882,4281663.46,4281663.46
6,2021-08-23,5.1555,5.48,4.9201,5.3693,5.1555,5.48,4.9201,5.3693,5709011.2,5709011.2
7,2021-08-22,4.4909,5.25,4.475,5.1502,4.4909,5.25,4.475,5.1502,5831166.08,5831166.08
8,2021-08-21,4.6089,4.793,4.4605,4.4962,4.6089,4.793,4.4605,4.4962,2977467.63,2977467.63
9,2021-08-20,4.43,4.8979,4.3653,4.6089,4.43,4.8979,4.3653,4.6089,3366050.96,3366050.96
10,2021-08-19,4.125,4.4737,4.0258,4.4364,4.125,4.4737,4.0258,4.4364,3162703.07,3162703.07
11,2021-08-18,4.1504,4.5954,3.8847,4.1228,4.1504,4.5954,3.8847,4.1228,5726138.92,5726138.92
12,2021-08-17,4.1167,4.888,3.9626,4.1496,4.1167,4.888,3.9626,4.1496,7381693.99,7381693.99
13,2021-08-16,4.1087,4.5026,4.0527,4.1139,4.1087,4.5026,4.0527,4.1139,3561554.92,3561554.92
14,2021-08-15,4.1443,4.188,3.88,4.1116,4.1443,4.188,3.88,4.1116,1606406.31,1606406.31
15,2021-08-14,4.1691,4.35,3.9569,4.1391,4.1691,4.35,3.9569,4.1391,2598162.65,2598162.65
16,2021-08-13,3.8092,4.1874,3.7352,4.1666,3.8092,4.1874,3.7352,4.1666,2315326.08,2315326.08
17,2021-08-12,3.8177,4.1479,3.62,3.8038,3.8177,4.1479,3.62,3.8038,2872603.03,2872603.03
18,2021-08-11,3.6689,4.228,3.6587,3.822,3.6689,4.228,3.6587,3.822,4951573.26,4951573.26
19,2021-08-10,3.7043,3.8719,3.55,3.6644,3.7043,3.8719,3.55,3.6644,2712370.39,2712370.39
20,2021-08-09,3.4423,3.7876,3.3039,3.7056,3.4423,3.7876,3.3039,3.7056,3261226.58,3261226.58
21,2021-08-08,3.714,3.7452,3.3425,3.4423,3.714,3.7452,3.3425,3.4423,2937837.68,2937837.68
22,2021-08-07,3.4076,3.9469,3.3601,3.72,3.4076,3.9469,3.3601,3.72,7310755.79,7310755.79
23,2021-08-06,3.3574,3.5666,3.2479,3.4005,3.3574,3.5666,3.2479,3.4005,3405654.42,3405654.42
24,2021-08-05,3.367,3.5414,3.268,3.3571,3.367,3.5414,3.268,3.3571,2860334.97,2860334.97
25,2021-08-04,3.2718,3.4211,3.1445,3.3667,3.2718,3.4211,3.1445,3.3667,1994664.24,1994664.24
26,2021-08-03,3.4243,3.4453,3.162,3.2684,3.4243,3.4453,3.162,3.2684,1914409.61,1914409.61
27,2021-08-02,3.3603,3.5669,3.2542,3.4228,3.3603,3.5669,3.2542,3.4228,2297889.99,2297889.99
28,2021-08-01,3.3134,3.799,3.2579,3.3603,3.3134,3.799,3.2579,3.3603,7090527.08,7090527.08
29,2021-07-31,3.3443,3.8572,3.2839,3.3093,3.3443,3.8572,3.2839,3.3093,9548262.85,9548262.85
30,2021-07-30,2.7878,3.55,2.66,3.3448,2.7878,3.55,2.66,3.3448,7014860.88,7014860.88
31,2021-07-29,2.6745,2.8305,2.6032,2.7854,2.6745,2.8305,2.6032,2.7854,2329782.87,2329782.87
32,2021-07-28,2.6606,2.6942,2.511,2.6702,2.6606,2.6942,2.511,2.6702,1800799.66,1800799.66
33,2021-07-27,2.5466,2.693,2.4502,2.6629,2.5466,2.693,2.4502,2.6629,1885962.6,1885962.6
34,2021-07-26,2.5311,2.86,2.5139,2.5454,2.5311,2.86,2.5139,2.5454,3740813.08,3740813.08
35,2021-07-25,2.4871,2.597,2.3916,2.5305,2.4871,2.597,2.3916,2.5305,1583079.98,1583079.98
36,2021-07-24,2.4184,2.7,2.3894,2.4886,2.4184,2.7,2.3894,2.4886,2510697.87,2510697.87
37,2021-07-23,2.36,2.439,2.2751,2.4184,2.36,2.439,2.2751,2.4184,1613790.88,1613790.88
38,2021-07-22,2.352,2.4336,2.2707,2.3601,2.352,2.4336,2.2707,2.3601,1560029.82,1560029.82
39,2021-07-21,2.135,2.4198,2.0636,2.3549,2.135,2.4198,2.0636,2.3549,1574283.68,1574283.68
40,2021-07-20,2.2887,2.3549,2.075,2.135,2.2887,2.3549,2.075,2.135,1459898.14,1459898.14
41,2021-07-19,2.4395,2.4506,2.2301,2.2875,2.4395,2.4506,2.2301,2.2875,1155022.94,1155022.94
42,2021-07-18,2.4629,2.5778,2.3949,2.4396,2.4629,2.5778,2.3949,2.4396,1048168.08,1048168.08
43,2021-07-17,2.4763,2.5436,2.3941,2.4588,2.4763,2.5436,2.3941,2.4588,1055694.43,1055694.43
44,2021-07-16,2.6075,2.6945,2.45,2.4749,2.6075,2.6945,2.45,2.4749,1623228.48,1623228.48
45,2021-07-15,2.7479,2.7728,2.5522,2.6002,2.7479,2.7728,2.5522,2.6002,1892358.61,1892358.61
46,2021-07-14,2.7677,2.8181,2.5143,2.7504,2.7677,2.8181,2.5143,2.7504,2254268.91,2254268.91
47,2021-07-13,2.9134,2.9217,2.7203,2.7684,2.9134,2.9217,2.7203,2.7684,1832478.6,1832478.6
48,2021-07-12,3.0235,3.0777,2.8498,2.9124,3.0235,3.0777,2.8498,2.9124,1650970.22,1650970.22
49,2021-07-11,2.9783,3.148,2.879,3.0228,2.9783,3.148,2.879,3.0228,1933404.67,1933404.67
