,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,96.17,97.07,95.66,96.36,96.17,97.07,95.66,96.36,111012.36,111012.36
1,2021-08-28,87.98,97.82,85.59,96.22,87.98,97.82,85.59,96.22,5774371.258,5774371.258
2,2021-08-27,74.92,88.92,72.55,87.98,74.92,88.92,72.55,87.98,8785637.093,8785637.093
3,2021-08-26,71.982,78.3,66.2,74.92,71.982,78.3,66.2,74.92,6563670.747,6563670.747
4,2021-08-25,70.519,72.83,66.03,71.973,70.519,72.83,66.03,71.973,5069064.804,5069064.804
5,2021-08-24,75.647,79.45,68.5,70.527,75.647,79.45,68.5,70.527,6792636.137,6792636.137
6,2021-08-23,72.751,76.81,71.545,75.623,72.751,76.81,71.545,75.623,4150780.595,4150780.595
7,2021-08-22,73.852,77.6,71.244,72.775,73.852,77.6,71.244,72.775,2862187.053,2862187.053
8,2021-08-21,78.684,82.0,72.6,73.801,78.684,82.0,72.6,73.801,5131799.362,5131799.362
9,2021-08-20,72.8,80.0,70.873,78.643,72.8,80.0,70.873,78.643,5705076.722,5705076.722
10,2021-08-19,72.659,75.436,68.24,72.764,72.659,75.436,68.24,72.764,7819221.598,7819221.598
11,2021-08-18,64.135,80.5,59.722,72.663,64.135,80.5,59.722,72.663,15022132.453,15022132.453
12,2021-08-17,62.042,75.155,58.822,64.123,62.042,75.155,58.822,64.123,14953825.95,14953825.95
13,2021-08-16,53.515,69.132,52.269,62.016,53.515,69.132,52.269,62.016,15014364.928,15014364.928
14,2021-08-15,44.124,54.8,43.361,53.531,44.124,54.8,43.361,53.531,6264283.565,6264283.565
15,2021-08-14,44.859,44.874,42.727,44.14,44.859,44.874,42.727,44.14,1548818.722,1548818.722
16,2021-08-13,41.105,44.911,40.668,44.83,41.105,44.911,40.668,44.83,2281339.99,2281339.99
17,2021-08-12,41.619,43.401,39.316,41.102,41.619,43.401,39.316,41.102,2413664.412,2413664.412
18,2021-08-11,40.639,43.729,40.605,41.621,40.639,43.729,40.605,41.621,2512250.555,2512250.555
19,2021-08-10,38.646,41.678,38.183,40.64,38.646,41.678,38.183,40.64,2603195.665,2603195.665
20,2021-08-09,37.653,39.999,36.351,38.646,37.653,39.999,36.351,38.646,2128198.741,2128198.741
21,2021-08-08,39.454,39.549,36.896,37.65,39.454,39.549,36.896,37.65,2030535.723,2030535.723
22,2021-08-07,39.502,40.5,37.502,39.469,39.502,40.5,37.502,39.469,3561767.701,3561767.701
23,2021-08-06,37.354,40.4,35.611,39.525,37.354,40.4,35.611,39.525,3951317.574,3951317.574
24,2021-08-05,35.757,38.267,35.5,37.353,35.757,38.267,35.5,37.353,4059371.083,4059371.083
25,2021-08-04,34.094,36.658,33.236,35.76,34.094,36.658,33.236,35.76,2847838.669,2847838.669
26,2021-08-03,33.177,35.9,32.327,34.105,33.177,35.9,32.327,34.105,3490191.638,3490191.638
27,2021-08-02,34.178,35.95,33.0,33.167,34.178,35.95,33.0,33.167,3105881.294,3105881.294
28,2021-08-01,36.742,36.822,33.165,34.165,36.742,36.822,33.165,34.165,3490975.158,3490975.158
29,2021-07-31,32.354,37.004,31.653,36.744,32.354,37.004,31.653,36.744,4320145.537,4320145.537
30,2021-07-30,31.238,33.084,29.91,32.354,31.238,33.084,29.91,32.354,4970660.009,4970660.009
31,2021-07-29,27.891,31.888,27.319,31.235,27.891,31.888,27.319,31.235,3692050.445,3692050.445
32,2021-07-28,28.119,28.76,27.354,27.875,28.119,28.76,27.354,27.875,2329901.559,2329901.559
33,2021-07-27,28.183,28.95,26.893,28.103,28.183,28.95,26.893,28.103,3008374.757,3008374.757
