,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,0.4738,0.4784,0.4721,0.476,0.4738,0.4784,0.4721,0.476,168951.0,168951.0
1,2021-08-28,0.4848,0.4871,0.4661,0.4734,0.4848,0.4871,0.4661,0.4734,15371297.0,15371297.0
2,2021-08-27,0.4159,0.52,0.4086,0.4848,0.4159,0.52,0.4086,0.4848,88987768.85,88987768.85
3,2021-08-26,0.4522,0.454,0.4072,0.4147,0.4522,0.454,0.4072,0.4147,12009656.13,12009656.13
4,2021-08-25,0.4272,0.47,0.4083,0.4526,0.4272,0.47,0.4083,0.4526,12743697.38,12743697.38
5,2021-08-24,0.4634,0.4695,0.4151,0.4272,0.4634,0.4695,0.4151,0.4272,12963039.96,12963039.96
6,2021-08-23,0.4656,0.4759,0.4505,0.4635,0.4656,0.4759,0.4505,0.4635,9730336.04,9730336.04
7,2021-08-22,0.451,0.493,0.4471,0.4667,0.451,0.493,0.4471,0.4667,12741535.35,12741535.35
8,2021-08-21,0.4779,0.4799,0.4495,0.4502,0.4779,0.4799,0.4495,0.4502,10412791.93,10412791.93
9,2021-08-20,0.4625,0.5095,0.4546,0.4775,0.4625,0.5095,0.4546,0.4775,21220472.72,21220472.72
10,2021-08-19,0.4638,0.4723,0.42,0.4625,0.4638,0.4723,0.42,0.4625,18903654.5,18903654.5
11,2021-08-18,0.444,0.4783,0.4286,0.4629,0.444,0.4783,0.4286,0.4629,16538608.5,16538608.5
12,2021-08-17,0.477,0.507,0.439,0.4449,0.477,0.507,0.439,0.4449,25057599.41,25057599.41
13,2021-08-16,0.5073,0.5234,0.4742,0.477,0.5073,0.5234,0.4742,0.477,22786287.09,22786287.09
14,2021-08-15,0.5105,0.55,0.465,0.5075,0.5105,0.55,0.465,0.5075,63688404.25,63688404.25
15,2021-08-14,0.6331,0.668,0.5031,0.5109,0.6331,0.668,0.5031,0.5109,130701074.29,130701074.29
16,2021-08-13,0.3172,0.7177,0.315,0.6328,0.3172,0.7177,0.315,0.6328,404177424.46,404177424.46
17,2021-08-12,0.3299,0.3484,0.3068,0.3176,0.3299,0.3484,0.3068,0.3176,12005543.67,12005543.67
18,2021-08-11,0.3125,0.355,0.3098,0.3299,0.3125,0.355,0.3098,0.3299,24345770.8,24345770.8
19,2021-08-10,0.3024,0.3141,0.2945,0.3127,0.3024,0.3141,0.2945,0.3127,11238800.72,11238800.72
20,2021-08-09,0.2792,0.3132,0.27,0.3028,0.2792,0.3132,0.27,0.3028,12428176.16,12428176.16
21,2021-08-08,0.3011,0.307,0.2762,0.2792,0.3011,0.307,0.2762,0.2792,11742185.92,11742185.92
22,2021-08-07,0.3027,0.3234,0.2902,0.3011,0.3027,0.3234,0.2902,0.3011,18781249.6,18781249.6
23,2021-08-06,0.263,0.3436,0.2626,0.3022,0.263,0.3436,0.2626,0.3022,76240398.1,76240398.1
24,2021-08-05,0.2487,0.2669,0.2412,0.2627,0.2487,0.2669,0.2412,0.2627,13100710.09,13100710.09
25,2021-08-04,0.2371,0.2709,0.2316,0.2486,0.2371,0.2709,0.2316,0.2486,54601724.51,54601724.51
26,2021-08-03,0.2329,0.24,0.2211,0.2365,0.2329,0.24,0.2211,0.2365,26037363.86,26037363.86
27,2021-08-02,0.227,0.2397,0.2235,0.2328,0.227,0.2397,0.2235,0.2328,18589941.25,18589941.25
28,2021-08-01,0.2379,0.2438,0.2233,0.2276,0.2379,0.2438,0.2233,0.2276,6919030.94,6919030.94
29,2021-07-31,0.2349,0.2493,0.2277,0.2375,0.2349,0.2493,0.2277,0.2375,10365453.91,10365453.91
30,2021-07-30,0.2245,0.2367,0.214,0.2349,0.2245,0.2367,0.214,0.2349,14475340.01,14475340.01
31,2021-07-29,0.2126,0.2499,0.2091,0.2252,0.2126,0.2499,0.2091,0.2252,27972627.23,27972627.23
32,2021-07-28,0.2168,0.2197,0.2082,0.2126,0.2168,0.2197,0.2082,0.2126,7130623.16,7130623.16
33,2021-07-27,0.2078,0.2217,0.1991,0.2168,0.2078,0.2217,0.1991,0.2168,6997383.26,6997383.26
34,2021-07-26,0.2048,0.2285,0.2019,0.2079,0.2048,0.2285,0.2019,0.2079,13993068.34,13993068.34
35,2021-07-25,0.202,0.2136,0.1928,0.2051,0.202,0.2136,0.1928,0.2051,11980764.32,11980764.32
36,2021-07-24,0.1895,0.211,0.1827,0.2021,0.1895,0.211,0.1827,0.2021,13029753.32,13029753.32
37,2021-07-23,0.1822,0.1932,0.1786,0.1899,0.1822,0.1932,0.1786,0.1899,5902143.07,5902143.07
38,2021-07-22,0.1746,0.1884,0.1716,0.1823,0.1746,0.1884,0.1716,0.1823,8333668.95,8333668.95
39,2021-07-21,0.1582,0.188,0.1551,0.1744,0.1582,0.188,0.1551,0.1744,11662767.72,11662767.72
40,2021-07-20,0.1681,0.1717,0.1529,0.1583,0.1681,0.1717,0.1529,0.1583,9661471.27,9661471.27
41,2021-07-19,0.181,0.1833,0.1678,0.1681,0.181,0.1833,0.1678,0.1681,5374059.14,5374059.14
