,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,5.637,5.64,5.39,5.445,5.637,5.64,5.39,5.445,915812.5,915812.5
1,2021-08-28,5.24,5.689,5.017,5.632,5.24,5.689,5.017,5.632,16401100.52,16401100.52
2,2021-08-27,4.433,5.527,4.226,5.24,4.433,5.527,4.226,5.24,30242293.02,30242293.02
3,2021-08-26,5.0921,5.123,4.301,4.438,5.0921,5.123,4.301,4.438,28083613.84,28083613.84
4,2021-08-25,3.9589,5.451,3.9561,5.092,3.9589,5.451,3.9561,5.092,45351851.5,45351851.5
5,2021-08-24,4.3059,4.4726,3.8892,3.9626,4.3059,4.4726,3.8892,3.9626,21831817.65,21831817.65
6,2021-08-23,3.7985,4.35,3.7736,4.3059,3.7985,4.35,3.7736,4.3059,26107161.9,26107161.9
7,2021-08-22,3.6929,3.8838,3.6677,3.7977,3.6929,3.8838,3.6677,3.7977,7212714.16,7212714.16
8,2021-08-21,3.7259,3.8335,3.6123,3.6895,3.7259,3.8335,3.6123,3.6895,8547397.5,8547397.5
9,2021-08-20,3.6403,3.7346,3.5824,3.7279,3.6403,3.7346,3.5824,3.7279,5864740.23,5864740.23
10,2021-08-19,3.3443,3.65,3.285,3.6398,3.3443,3.65,3.285,3.6398,7805476.05,7805476.05
11,2021-08-18,3.4017,3.4692,3.2298,3.3427,3.4017,3.4692,3.2298,3.3427,6050677.55,6050677.55
12,2021-08-17,3.6329,3.8031,3.3778,3.4024,3.6329,3.8031,3.3778,3.4024,7673774.44,7673774.44
13,2021-08-16,3.7351,3.8944,3.5887,3.632,3.7351,3.8944,3.5887,3.632,7833837.88,7833837.88
14,2021-08-15,3.6953,3.762,3.55,3.7355,3.6953,3.762,3.55,3.7355,6054822.47,6054822.47
15,2021-08-14,3.5928,3.7183,3.4647,3.6952,3.5928,3.7183,3.4647,3.6952,9725662.38,9725662.38
16,2021-08-13,3.3514,3.5962,3.2969,3.5928,3.3514,3.5962,3.2969,3.5928,8753775.65,8753775.65
17,2021-08-12,3.4453,3.6178,3.2193,3.3491,3.4453,3.6178,3.2193,3.3491,8490155.68,8490155.68
18,2021-08-11,3.2671,3.5658,3.259,3.4438,3.2671,3.5658,3.259,3.4438,11311326.25,11311326.25
19,2021-08-10,3.2851,3.352,3.1801,3.2643,3.2851,3.352,3.1801,3.2643,8624983.81,8624983.81
20,2021-08-09,3.1784,3.3475,3.1033,3.2867,3.1784,3.3475,3.1033,3.2867,6105111.37,6105111.37
21,2021-08-08,3.4241,3.4893,3.1539,3.178,3.4241,3.4893,3.1539,3.178,4203173.45,4203173.45
22,2021-08-07,3.3582,3.5361,3.3001,3.4222,3.3582,3.5361,3.3001,3.4222,7300812.89,7300812.89
23,2021-08-06,3.2212,3.3637,3.1482,3.3575,3.2212,3.3637,3.1482,3.3575,4870888.84,4870888.84
24,2021-08-05,3.178,3.2739,3.0706,3.2196,3.178,3.2739,3.0706,3.2196,6074778.25,6074778.25
25,2021-08-04,3.0572,3.1899,2.9931,3.1769,3.0572,3.1899,2.9931,3.1769,3094495.66,3094495.66
26,2021-08-03,3.1266,3.2065,2.9724,3.0547,3.1266,3.2065,2.9724,3.0547,5346797.03,5346797.03
27,2021-08-02,2.949,3.3127,2.8862,3.125,2.949,3.3127,2.8862,3.125,8863482.93,8863482.93
28,2021-08-01,3.0362,3.1808,2.9,2.9505,3.0362,3.1808,2.9,2.9505,5994904.68,5994904.68
29,2021-07-31,2.967,3.1052,2.9069,3.0355,2.967,3.1052,2.9069,3.0355,4706904.62,4706904.62
30,2021-07-30,2.8512,2.97,2.762,2.967,2.8512,2.97,2.762,2.967,4001550.43,4001550.43
31,2021-07-29,2.8108,2.8661,2.7363,2.8509,2.8108,2.8661,2.7363,2.8509,2975922.84,2975922.84
32,2021-07-28,2.8616,2.9012,2.7575,2.8133,2.8616,2.9012,2.7575,2.8133,4190241.65,4190241.65
33,2021-07-27,2.8393,2.9297,2.74,2.8623,2.8393,2.9297,2.74,2.8623,5145738.38,5145738.38
34,2021-07-26,2.8894,3.1174,2.8229,2.8375,2.8894,3.1174,2.8229,2.8375,9654469.5,9654469.5
35,2021-07-25,2.8171,2.9064,2.7177,2.8919,2.8171,2.9064,2.7177,2.8919,4821090.34,4821090.34
36,2021-07-24,2.6883,2.8208,2.6475,2.8169,2.6883,2.8208,2.6475,2.8169,5273691.16,5273691.16
37,2021-07-23,2.5003,2.6933,2.4951,2.6852,2.5003,2.6933,2.4951,2.6852,4661222.26,4661222.26
38,2021-07-22,2.3976,2.5097,2.3335,2.5013,2.3976,2.5097,2.3335,2.5013,3564101.93,3564101.93
39,2021-07-21,2.1537,2.4406,2.1028,2.3976,2.1537,2.4406,2.1028,2.3976,4843999.69,4843999.69
40,2021-07-20,2.2887,2.3356,2.0989,2.1514,2.2887,2.3356,2.0989,2.1514,5374059.71,5374059.71
41,2021-07-19,2.4276,2.4514,2.2618,2.2872,2.4276,2.4514,2.2618,2.2872,4038299.93,4038299.93
42,2021-07-18,2.407,2.4944,2.3811,2.4291,2.407,2.4944,2.3811,2.4291,2921612.38,2921612.38
43,2021-07-17,2.4089,2.4838,2.3694,2.4049,2.4089,2.4838,2.3694,2.4049,3728017.42,3728017.42
44,2021-07-16,2.5775,2.6433,2.4,2.4088,2.5775,2.6433,2.4,2.4088,4531095.36,4531095.36
45,2021-07-15,2.7154,2.7512,2.5219,2.5761,2.7154,2.7512,2.5219,2.5761,3237208.82,3237208.82
46,2021-07-14,2.8105,2.8207,2.5345,2.716,2.8105,2.8207,2.5345,2.716,5380495.74,5380495.74
47,2021-07-13,2.8069,2.9187,2.7649,2.8094,2.8069,2.9187,2.7649,2.8094,4705804.92,4705804.92
48,2021-07-12,2.848,2.9515,2.7593,2.8066,2.848,2.9515,2.7593,2.8066,3743404.79,3743404.79
49,2021-07-11,2.786,2.8913,2.732,2.8441,2.786,2.8913,2.732,2.8441,3049014.09,3049014.09
50,2021-07-10,2.7503,2.8401,2.6939,2.7832,2.7503,2.8401,2.6939,2.7832,2481562.75,2481562.75
51,2021-07-09,2.6935,2.8,2.5779,2.7503,2.6935,2.8,2.5779,2.7503,2763472.09,2763472.09
52,2021-07-08,2.875,2.8999,2.6172,2.6916,2.875,2.8999,2.6172,2.6916,4046666.03,4046666.03
53,2021-07-07,2.8619,2.9671,2.8141,2.878,2.8619,2.9671,2.8141,2.878,3891847.4,3891847.4
54,2021-07-06,2.8291,2.9838,2.8018,2.8647,2.8291,2.9838,2.8018,2.8647,3371905.85,3371905.85
55,2021-07-05,3.0392,3.0392,2.7913,2.829,3.0392,3.0392,2.7913,2.829,4447300.67,4447300.67
56,2021-07-04,3.0273,3.1108,2.9101,3.0408,3.0273,3.1108,2.9101,3.0408,2404361.88,2404361.88
57,2021-07-03,2.9521,3.0285,2.8736,3.0285,2.9521,3.0285,2.8736,3.0285,2010905.16,2010905.16
58,2021-07-02,2.9419,2.9822,2.7481,2.9529,2.9419,2.9822,2.7481,2.9529,3166121.73,3166121.73
59,2021-07-01,3.0464,3.0661,2.8367,2.9419,3.0464,3.0661,2.8367,2.9419,3692539.69,3692539.69
60,2021-06-30,2.9752,3.046,2.7511,3.0432,2.9752,3.046,2.7511,3.0432,4565709.6,4565709.6
61,2021-06-29,2.7038,2.993,2.6958,2.9776,2.7038,2.993,2.6958,2.9776,5531031.31,5531031.31
62,2021-06-28,2.6261,2.7384,2.5625,2.7057,2.6261,2.7384,2.5625,2.7057,2625301.43,2625301.43
63,2021-06-27,2.5433,2.63,2.4521,2.6224,2.5433,2.63,2.4521,2.6224,3401022.56,3401022.56
64,2021-06-26,2.521,2.6225,2.3851,2.5395,2.521,2.6225,2.3851,2.5395,3987792.66,3987792.66
65,2021-06-25,2.8321,2.882,2.483,2.5225,2.8321,2.882,2.483,2.5225,5812029.0,5812029.0
66,2021-06-24,2.6886,2.85,2.5706,2.8308,2.6886,2.85,2.5706,2.8308,3727231.62,3727231.62
67,2021-06-23,2.375,2.7897,2.2774,2.6887,2.375,2.7897,2.2774,2.6887,6436856.7,6436856.7
68,2021-06-22,2.4861,2.6583,2.1175,2.3749,2.4861,2.6583,2.1175,2.3749,12562747.59,12562747.59
69,2021-06-21,3.0757,3.0996,2.48,2.4855,3.0757,3.0996,2.48,2.4855,7957343.19,7957343.19
70,2021-06-20,3.0293,3.1177,2.8755,3.077,3.0293,3.1177,2.8755,3.077,3735237.45,3735237.45
71,2021-06-19,3.0977,3.1792,3.018,3.038,3.0977,3.1792,3.018,3.038,3325355.02,3325355.02
72,2021-06-18,3.373,3.3852,2.9928,3.0976,3.373,3.3852,2.9928,3.0976,6030213.87,6030213.87
73,2021-06-17,3.1171,3.439,3.1074,3.3695,3.1171,3.439,3.1074,3.3695,9662019.88,9662019.88
74,2021-06-16,3.2717,3.3281,3.0883,3.115,3.2717,3.3281,3.0883,3.115,3273488.92,3273488.92
75,2021-06-15,3.351,3.3934,3.2108,3.271,3.351,3.3934,3.2108,3.271,3401392.16,3401392.16
76,2021-06-14,3.314,3.355,3.1856,3.3485,3.314,3.355,3.1856,3.3485,4241280.52,4241280.52
77,2021-06-13,3.1429,3.324,3.0014,3.3136,3.1429,3.324,3.0014,3.3136,4524852.38,4524852.38
78,2021-06-12,3.1345,3.2253,2.92,3.143,3.1345,3.2253,2.92,3.143,5151566.71,5151566.71
79,2021-06-11,3.2772,3.3714,3.0826,3.1373,3.2772,3.3714,3.0826,3.1373,4903353.58,4903353.58
80,2021-06-10,3.5106,3.5478,3.1788,3.2774,3.5106,3.5478,3.1788,3.2774,5820386.77,5820386.77
81,2021-06-09,3.4467,3.5369,3.2241,3.5106,3.4467,3.5369,3.2241,3.5106,8824433.51,8824433.51
82,2021-06-08,3.484,3.5849,3.0743,3.4473,3.484,3.5849,3.0743,3.4473,12433538.01,12433538.01
83,2021-06-07,3.8372,4.1387,3.4375,3.4872,3.8372,4.1387,3.4375,3.4872,15222713.23,15222713.23
84,2021-06-06,3.429,3.9,3.4046,3.8324,3.429,3.9,3.4046,3.8324,8327581.96,8327581.96
85,2021-06-05,3.5499,3.6912,3.2565,3.4293,3.5499,3.6912,3.2565,3.4293,4682008.56,4682008.56
86,2021-06-04,3.8791,3.9229,3.3654,3.5529,3.8791,3.9229,3.3654,3.5529,6455360.13,6455360.13
87,2021-06-03,3.8149,3.99,3.7235,3.8787,3.8149,3.99,3.7235,3.8787,5228255.31,5228255.31
88,2021-06-02,3.6668,3.8749,3.5713,3.8125,3.6668,3.8749,3.5713,3.8125,7505803.87,7505803.87
89,2021-06-01,3.605,3.7002,3.4329,3.6663,3.605,3.7002,3.4329,3.6663,8793804.16,8793804.16
90,2021-05-31,3.2842,3.6127,3.144,3.606,3.2842,3.6127,3.144,3.606,7187097.29,7187097.29
91,2021-05-30,3.2087,3.4534,3.0197,3.2857,3.2087,3.4534,3.0197,3.2857,6339616.87,6339616.87
92,2021-05-29,3.391,3.5704,3.0,3.2038,3.391,3.5704,3.0,3.2038,8946892.49,8946892.49
93,2021-05-28,3.8744,3.9327,3.251,3.3882,3.8744,3.9327,3.251,3.3882,12539225.95,12539225.95
94,2021-05-27,3.9267,4.1731,3.5696,3.8744,3.9267,4.1731,3.5696,3.8744,10758061.89,10758061.89
95,2021-05-26,3.6625,3.9792,3.5757,3.9246,3.6625,3.9792,3.5757,3.9246,9990300.07,9990300.07
96,2021-05-25,3.5427,3.757,3.2382,3.6601,3.5427,3.757,3.2382,3.6601,12314817.23,12314817.23
97,2021-05-24,2.9066,3.6166,2.8308,3.5426,2.9066,3.6166,2.8308,3.5426,14112500.3,14112500.3
98,2021-05-23,3.4373,3.6038,2.4296,2.9071,3.4373,3.6038,2.4296,2.9071,21959557.01,21959557.01
99,2021-05-22,3.67,3.745,3.192,3.434,3.67,3.745,3.192,3.434,13558489.71,13558489.71
100,2021-05-21,4.1824,4.3961,3.0919,3.6721,4.1824,4.3961,3.0919,3.6721,19521821.51,19521821.51
101,2021-05-20,3.6169,4.478,3.15,4.1826,3.6169,4.478,3.15,4.1826,23540169.16,23540169.16
102,2021-05-19,5.7408,5.8377,2.6898,3.607,5.7408,5.8377,2.6898,3.607,39395572.48,39395572.48
103,2021-05-18,5.1736,5.9881,5.0901,5.7408,5.1736,5.9881,5.0901,5.7408,13189092.47,13189092.47
104,2021-05-17,5.6737,5.6752,5.0373,5.1689,5.6737,5.6752,5.0373,5.1689,14145176.5,14145176.5
105,2021-05-16,5.7839,6.24,5.3446,5.6737,5.7839,6.24,5.3446,5.6737,11231652.84,11231652.84
106,2021-05-15,6.4744,6.5179,5.7271,5.7784,6.4744,6.5179,5.7271,5.7784,8510113.3,8510113.3
