,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-08-29,1.08,1.1276,1.0797,1.0989,1.08,1.1276,1.0797,1.0989,1970308.0,1970308.0
1,2021-08-28,1.1114,1.113,1.0594,1.0798,1.1114,1.113,1.0594,1.0798,4407358.0,4407358.0
2,2021-08-27,1.0475,1.1123,1.0028,1.112,1.0475,1.1123,1.0028,1.112,5217476.92,5217476.92
3,2021-08-26,1.15,1.1681,1.0177,1.048,1.15,1.1681,1.0177,1.048,7281440.35,7281440.35
4,2021-08-25,1.0614,1.1743,1.0134,1.1502,1.0614,1.1743,1.0134,1.1502,9514006.55,9514006.55
5,2021-08-24,1.1597,1.1887,1.031,1.0606,1.1597,1.1887,1.031,1.0606,10623441.55,10623441.55
6,2021-08-23,1.1221,1.1854,1.0942,1.1594,1.1221,1.1854,1.0942,1.1594,13286484.13,13286484.13
7,2021-08-22,1.0705,1.1279,1.045,1.1226,1.0705,1.1279,1.045,1.1226,12091303.76,12091303.76
8,2021-08-21,1.0577,1.0863,1.0151,1.0706,1.0577,1.0863,1.0151,1.0706,11485249.96,11485249.96
9,2021-08-20,1.0277,1.0619,1.0068,1.0589,1.0277,1.0619,1.0068,1.0589,7524809.06,7524809.06
10,2021-08-19,0.9673,1.028,0.9271,1.0278,0.9673,1.028,0.9271,1.0278,5861682.34,5861682.34
11,2021-08-18,0.9919,1.03,0.9224,0.9653,0.9919,1.03,0.9224,0.9653,9640494.57,9640494.57
12,2021-08-17,1.0279,1.1061,0.9794,0.9899,1.0279,1.1061,0.9794,0.9899,11886069.32,11886069.32
13,2021-08-16,1.062,1.1146,1.0115,1.0273,1.062,1.1146,1.0115,1.0273,10988346.24,10988346.24
14,2021-08-15,1.0691,1.0756,1.006,1.062,1.0691,1.0756,1.006,1.062,5716422.46,5716422.46
15,2021-08-14,1.0596,1.1056,1.0121,1.0687,1.0596,1.1056,1.0121,1.0687,11022353.79,11022353.79
16,2021-08-13,0.9527,1.06,0.9197,1.0596,0.9527,1.06,0.9197,1.0596,21487217.71,21487217.71
17,2021-08-12,0.994,1.025,0.9083,0.9531,0.994,1.025,0.9083,0.9531,6771276.68,6771276.68
18,2021-08-11,0.9739,1.0431,0.9538,0.9943,0.9739,1.0431,0.9538,0.9943,7327643.29,7327643.29
19,2021-08-10,0.9559,0.9918,0.9201,0.974,0.9559,0.9918,0.9201,0.974,6229401.16,6229401.16
20,2021-08-09,0.9313,0.9646,0.8879,0.956,0.9313,0.9646,0.8879,0.956,6967716.63,6967716.63
21,2021-08-08,0.9334,1.05,0.9116,0.9312,0.9334,1.05,0.9116,0.9312,18868500.34,18868500.34
22,2021-08-07,0.8964,0.938,0.8816,0.9334,0.8964,0.938,0.8816,0.9334,6972646.46,6972646.46
23,2021-08-06,0.8888,0.9024,0.8568,0.8964,0.8888,0.9024,0.8568,0.8964,5230680.75,5230680.75
24,2021-08-05,0.8704,0.9208,0.8382,0.8884,0.8704,0.9208,0.8382,0.8884,10655367.71,10655367.71
25,2021-08-04,0.8589,0.8748,0.8237,0.87,0.8589,0.8748,0.8237,0.87,6476885.36,6476885.36
26,2021-08-03,0.8162,0.8599,0.7756,0.8576,0.8162,0.8599,0.7756,0.8576,6362329.94,6362329.94
27,2021-08-02,0.7799,0.8248,0.7538,0.8171,0.7799,0.8248,0.7538,0.8171,5900090.11,5900090.11
28,2021-08-01,0.8193,0.8473,0.7729,0.7794,0.8193,0.8473,0.7729,0.7794,7635501.52,7635501.52
29,2021-07-31,0.78,0.8688,0.7648,0.8192,0.78,0.8688,0.7648,0.8192,15065241.73,15065241.73
30,2021-07-30,0.7571,0.78,0.7168,0.7797,0.7571,0.78,0.7168,0.7797,5860769.27,5860769.27
31,2021-07-29,0.7075,0.7837,0.6882,0.7575,0.7075,0.7837,0.6882,0.7575,10321096.83,10321096.83
32,2021-07-28,0.7105,0.7263,0.687,0.7071,0.7105,0.7263,0.687,0.7071,4966452.46,4966452.46
33,2021-07-27,0.6752,0.7569,0.656,0.7105,0.6752,0.7569,0.656,0.7105,10570088.75,10570088.75
34,2021-07-26,0.6582,0.7251,0.6555,0.6755,0.6582,0.7251,0.6555,0.6755,9962396.86,9962396.86
35,2021-07-25,0.658,0.6612,0.6309,0.6587,0.658,0.6612,0.6309,0.6587,3270066.27,3270066.27
36,2021-07-24,0.6509,0.6777,0.6425,0.6574,0.6509,0.6777,0.6425,0.6574,5219071.37,5219071.37
37,2021-07-23,0.6419,0.6521,0.6058,0.6507,0.6419,0.6521,0.6058,0.6507,4315722.78,4315722.78
38,2021-07-22,0.6365,0.642,0.6102,0.6418,0.6365,0.642,0.6102,0.6418,7997710.07,7997710.07
39,2021-07-21,0.5467,0.6588,0.53,0.6358,0.5467,0.6588,0.53,0.6358,15014177.37,15014177.37
40,2021-07-20,0.5843,0.5966,0.5235,0.5476,0.5843,0.5966,0.5235,0.5476,6379235.17,6379235.17
41,2021-07-19,0.6232,0.6281,0.5775,0.5842,0.6232,0.6281,0.5775,0.5842,5241834.0,5241834.0
42,2021-07-18,0.6276,0.6541,0.6088,0.6228,0.6276,0.6541,0.6088,0.6228,2591598.85,2591598.85
43,2021-07-17,0.6197,0.6315,0.598,0.6273,0.6197,0.6315,0.598,0.6273,3115734.47,3115734.47
