,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,293.27,297.26,290.68,295.66,293.27,297.26,290.68,295.66,53032.915,53032.915
1,2021-07-21,264.43,298.92,261.02,293.26,264.43,298.92,261.02,293.26,1740736.0226,1740736.0226
2,2021-07-20,280.54,283.6,254.52,264.44,280.54,283.6,254.52,264.44,1796600.5803,1796600.5803
3,2021-07-19,302.04,303.94,278.85,280.54,302.04,303.94,278.85,280.54,1318041.7074,1318041.7074
4,2021-07-18,300.56,309.18,298.7,302.1,300.56,309.18,298.7,302.1,815497.3527,815497.3527
5,2021-07-17,302.94,306.71,295.0,300.52,302.94,306.71,295.0,300.52,1030879.9611,1030879.9611
6,2021-07-16,316.12,323.5,301.5,302.88,316.12,323.5,301.5,302.88,1456105.4019,1456105.4019
7,2021-07-15,309.33,324.33,301.32,316.11,309.33,324.33,301.32,316.11,2185210.8398,2185210.8398
8,2021-07-14,308.98,313.46,290.24,309.4,308.98,313.46,290.24,309.4,1430288.4026,1430288.4026
9,2021-07-13,316.11,318.33,305.2,308.94,316.11,318.33,305.2,308.94,930032.3155,930032.3155
10,2021-07-12,322.17,334.37,308.57,316.12,322.17,334.37,308.57,316.12,1322836.6575,1322836.6575
11,2021-07-11,316.12,326.82,312.21,322.16,316.12,326.82,312.21,322.16,799617.835,799617.835
12,2021-07-10,317.09,321.44,310.57,316.12,317.09,321.44,310.57,316.12,818970.9225,818970.9225
13,2021-07-09,310.08,319.69,301.43,317.09,310.08,319.69,301.43,317.09,1106411.786,1106411.786
14,2021-07-08,327.51,328.21,304.4,310.14,327.51,328.21,304.4,310.14,1644090.8501,1644090.8501
15,2021-07-07,319.91,340.0,318.23,327.51,319.91,340.0,318.23,327.51,1779058.2937,1779058.2937
16,2021-07-06,302.04,322.5,301.8,319.92,302.04,322.5,301.8,319.92,2066912.3595,2066912.3595
17,2021-07-05,307.63,307.68,291.0,302.02,307.63,307.68,291.0,302.02,1403218.2408,1403218.2408
18,2021-07-04,298.18,314.91,292.58,307.62,298.18,314.91,292.58,307.62,1309414.0255,1309414.0255
19,2021-07-03,287.17,303.21,282.77,298.13,287.17,303.21,282.77,298.13,1016731.5662,1016731.5662
20,2021-07-02,287.49,290.74,276.4,287.17,287.49,290.74,276.4,287.17,1003331.2269,1003331.2269
21,2021-07-01,303.75,304.0,281.0,287.43,303.75,304.0,281.0,287.43,1388151.0265,1388151.0265
22,2021-06-30,300.79,304.88,281.53,303.71,300.79,304.88,281.53,303.71,2061866.47,2061866.47
23,2021-06-29,290.0,315.6,289.19,300.79,290.0,315.6,289.19,300.79,2126079.3416,2126079.3416
24,2021-06-28,290.89,299.96,283.55,290.0,290.89,299.96,283.55,290.0,1884580.1557,1884580.1557
25,2021-06-27,279.58,291.7,269.72,290.87,279.58,291.7,269.72,290.87,1539903.0268,1539903.0268
26,2021-06-26,280.89,290.33,264.26,279.65,280.89,290.33,264.26,279.65,2263064.3633,2263064.3633
27,2021-06-25,308.6,314.84,275.24,280.81,308.6,314.84,275.24,280.81,2711888.8709,2711888.8709
28,2021-06-24,296.17,316.49,281.5,308.62,296.17,316.49,281.5,308.62,2635799.196,2635799.196
29,2021-06-23,262.1,309.75,251.41,296.25,262.1,309.75,251.41,296.25,3319089.777,3319089.777
30,2021-06-22,270.76,291.5,225.42,262.1,270.76,291.5,225.42,262.1,5570573.4851,5570573.4851
31,2021-06-21,339.09,342.0,268.57,270.76,339.09,342.0,268.57,270.76,3729539.0167,3729539.0167
32,2021-06-20,334.03,340.57,310.13,339.08,334.03,340.57,310.13,339.08,1618406.0051,1618406.0051
33,2021-06-19,337.21,345.0,331.11,334.01,337.21,345.0,331.11,334.01,1067456.2119,1067456.2119
34,2021-06-18,352.84,357.12,327.22,337.16,352.84,357.12,327.22,337.16,1583897.2791,1583897.2791
35,2021-06-17,347.22,362.47,345.85,352.85,347.22,362.47,345.85,352.85,1239146.5273,1239146.5273
36,2021-06-16,366.48,366.77,343.35,347.22,366.48,366.77,343.35,347.22,1531522.2062,1531522.2062
37,2021-06-15,370.2,379.58,363.23,366.48,370.2,379.58,363.23,366.48,1545190.4369,1545190.4369
38,2021-06-14,365.81,377.33,355.07,370.19,365.81,377.33,355.07,370.19,1978613.2384,1978613.2384
39,2021-06-13,343.68,369.0,330.48,365.8,343.68,369.0,330.48,365.8,1958071.3656,1958071.3656
40,2021-06-12,345.76,348.88,325.3,343.7,345.76,348.88,325.3,343.7,2074837.0012,2074837.0012
41,2021-06-11,351.96,366.28,340.84,345.75,351.96,366.28,340.84,345.75,2215352.723,2215352.723
