,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,12.945,13.188,12.829,12.953,12.945,13.188,12.829,12.953,158632.321,158632.321
1,2021-07-21,11.236,13.317,11.081,12.95,11.236,13.317,11.081,12.95,4095065.135,4095065.135
2,2021-07-20,12.023,12.183,10.85,11.226,12.023,12.183,10.85,11.226,4069818.529,4069818.529
3,2021-07-19,12.93,12.998,12.0,12.036,12.93,12.998,12.0,12.036,2341038.273,2341038.273
4,2021-07-18,12.737,13.3,12.683,12.93,12.737,13.3,12.683,12.93,1607492.092,1607492.092
5,2021-07-17,12.817,13.012,12.386,12.746,12.817,13.012,12.386,12.746,2293328.722,2293328.722
6,2021-07-16,13.699,14.022,12.795,12.816,13.699,14.022,12.795,12.816,3283178.657,3283178.657
7,2021-07-15,14.012,14.578,13.51,13.697,14.012,14.578,13.51,13.697,3385693.332,3385693.332
8,2021-07-14,14.478,14.534,13.298,14.008,14.478,14.534,13.298,14.008,4040724.7,4040724.7
9,2021-07-13,14.85,15.133,14.231,14.471,14.85,15.133,14.231,14.471,2224696.061,2224696.061
10,2021-07-12,15.149,15.979,14.472,14.849,15.149,15.979,14.472,14.849,3142004.424,3142004.424
11,2021-07-11,14.959,15.429,14.621,15.144,14.959,15.429,14.621,15.144,2451158.693,2451158.693
12,2021-07-10,14.577,15.301,14.283,14.959,14.577,15.301,14.283,14.959,3363103.93,3363103.93
13,2021-07-09,14.278,14.696,13.7,14.577,14.278,14.696,13.7,14.577,2729916.787,2729916.787
14,2021-07-08,15.184,15.278,14.065,14.278,15.184,15.278,14.065,14.278,3773997.686,3773997.686
15,2021-07-07,15.459,16.317,15.087,15.191,15.459,16.317,15.087,15.191,5421297.698,5421297.698
16,2021-07-06,14.043,15.869,13.991,15.459,14.043,15.869,13.991,15.459,6633076.515,6633076.515
17,2021-07-05,14.159,14.459,13.246,14.037,14.159,14.459,13.246,14.037,3593623.185,3593623.185
18,2021-07-04,13.568,14.642,13.319,14.163,13.568,14.642,13.319,14.163,2593319.431,2593319.431
19,2021-07-03,12.982,13.86,12.639,13.568,12.982,13.86,12.639,13.568,2157096.821,2157096.821
20,2021-07-02,12.827,13.0,12.399,12.982,12.827,13.0,12.399,12.982,1764639.508,1764639.508
21,2021-07-01,13.846,13.9,12.594,12.841,13.846,13.9,12.594,12.841,2600057.447,2600057.447
22,2021-06-30,13.809,13.901,12.712,13.836,13.809,13.901,12.712,13.836,3131838.345,3131838.345
23,2021-06-29,13.303,14.441,13.26,13.814,13.303,14.441,13.26,13.814,3699194.731,3699194.731
24,2021-06-28,13.021,13.679,12.602,13.301,13.021,13.679,12.602,13.301,3285417.586,3285417.586
25,2021-06-27,12.26,13.049,11.849,13.021,12.26,13.049,11.849,13.021,3069749.894,3069749.894
26,2021-06-26,12.189,12.677,11.358,12.261,12.189,12.677,11.358,12.261,4045805.769,4045805.769
27,2021-06-25,13.817,14.059,11.781,12.181,13.817,14.059,11.781,12.181,4497421.816,4497421.816
28,2021-06-24,13.621,14.2,12.758,13.815,13.621,14.2,12.758,13.815,3800934.317,3800934.317
29,2021-06-23,12.009,14.468,11.399,13.61,12.009,14.468,11.399,13.61,7156917.16,7156917.16
30,2021-06-22,12.077,14.0,9.644,12.009,12.077,14.0,9.644,12.009,14030475.673,14030475.673
31,2021-06-21,15.982,16.096,12.001,12.086,15.982,16.096,12.001,12.086,6963955.652,6963955.652
