,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.19729,0.19897,0.19435,0.19602,0.19729,0.19897,0.19435,0.19602,363037.3,363037.3
1,2021-07-21,0.18082,0.19862,0.17501,0.19711,0.18082,0.19862,0.17501,0.19711,10015296.9,10015296.9
2,2021-07-20,0.19811,0.20341,0.17376,0.18122,0.19811,0.20341,0.17376,0.18122,13330413.3,13330413.3
3,2021-07-19,0.2107,0.21143,0.19106,0.19812,0.2107,0.21143,0.19106,0.19812,6789532.9,6789532.9
4,2021-07-18,0.21011,0.22355,0.20346,0.21077,0.21011,0.22355,0.20346,0.21077,9226511.6,9226511.6
5,2021-07-17,0.20941,0.21699,0.2004,0.21049,0.20941,0.21699,0.2004,0.21049,10541061.8,10541061.8
6,2021-07-16,0.22194,0.22511,0.20737,0.2094,0.22194,0.22511,0.20737,0.2094,8122637.2,8122637.2
7,2021-07-15,0.23218,0.23453,0.21617,0.22171,0.23218,0.23453,0.21617,0.22171,9736160.9,9736160.9
8,2021-07-14,0.23491,0.23555,0.21114,0.23236,0.23491,0.23555,0.21114,0.23236,8733325.3,8733325.3
9,2021-07-13,0.23887,0.2464,0.22715,0.23491,0.23887,0.2464,0.22715,0.23491,9679441.2,9679441.2
10,2021-07-12,0.24627,0.24627,0.23126,0.23923,0.24627,0.24627,0.23126,0.23923,6880013.7,6880013.7
11,2021-07-11,0.24125,0.24798,0.23156,0.24624,0.24125,0.24798,0.23156,0.24624,9863982.9,9863982.9
12,2021-07-10,0.25112,0.25486,0.23321,0.24142,0.25112,0.25486,0.23321,0.24142,7550325.2,7550325.2
13,2021-07-09,0.24336,0.25241,0.2298,0.25081,0.24336,0.25241,0.2298,0.25081,8719529.5,8719529.5
14,2021-07-08,0.27544,0.27558,0.23633,0.24346,0.27544,0.27558,0.23633,0.24346,13909608.3,13909608.3
15,2021-07-07,0.28066,0.2975,0.2687,0.27504,0.28066,0.2975,0.2687,0.27504,14188965.8,14188965.8
16,2021-07-06,0.28361,0.28984,0.26631,0.28114,0.28361,0.28984,0.26631,0.28114,24619891.7,24619891.7
17,2021-07-05,0.25051,0.2995,0.2477,0.28421,0.25051,0.2995,0.2477,0.28421,73074201.5,73074201.5
18,2021-07-04,0.24229,0.26162,0.23902,0.25094,0.24229,0.26162,0.23902,0.25094,17984913.9,17984913.9
19,2021-07-03,0.23582,0.24241,0.2262,0.24241,0.23582,0.24241,0.2262,0.24241,6959921.3,6959921.3
20,2021-07-02,0.23785,0.23854,0.21788,0.2355,0.23785,0.23854,0.21788,0.2355,8949470.7,8949470.7
21,2021-07-01,0.24798,0.24832,0.22018,0.23785,0.24798,0.24832,0.22018,0.23785,14907193.7,14907193.7
22,2021-06-30,0.22524,0.25642,0.21762,0.24827,0.22524,0.25642,0.21762,0.24827,40438826.3,40438826.3
23,2021-06-29,0.20402,0.22702,0.20328,0.22584,0.20402,0.22702,0.20328,0.22584,16940110.3,16940110.3
24,2021-06-28,0.1918,0.2168,0.18637,0.20407,0.1918,0.2168,0.18637,0.20407,13845277.6,13845277.6
25,2021-06-27,0.18918,0.19487,0.17826,0.19184,0.18918,0.19487,0.17826,0.19184,19259448.8,19259448.8
26,2021-06-26,0.17718,0.19,0.17025,0.18871,0.17718,0.19,0.17025,0.18871,13421975.2,13421975.2
27,2021-06-25,0.19746,0.2034,0.17266,0.17761,0.19746,0.2034,0.17266,0.17761,11737637.5,11737637.5
28,2021-06-24,0.18597,0.20762,0.17483,0.19703,0.18597,0.20762,0.17483,0.19703,13774691.5,13774691.5
29,2021-06-23,0.16984,0.19503,0.16119,0.18635,0.16984,0.19503,0.16119,0.18635,19305232.4,19305232.4
