,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.08551,0.0885,0.08422,0.08668,0.08551,0.0885,0.08422,0.08668,7196583.1,7196583.1
1,2021-07-21,0.07693,0.08894,0.0751,0.08539,0.07693,0.08894,0.0751,0.08539,77210841.5,77210841.5
2,2021-07-20,0.083,0.0848,0.0731,0.07714,0.083,0.0848,0.0731,0.07714,52783939.1,52783939.1
3,2021-07-19,0.08992,0.08996,0.07957,0.08286,0.08992,0.08996,0.07957,0.08286,48523464.6,48523464.6
4,2021-07-18,0.0903,0.09315,0.08866,0.08992,0.0903,0.09315,0.08866,0.08992,68365252.2,68365252.2
5,2021-07-17,0.09976,0.10215,0.08792,0.09024,0.09976,0.10215,0.08792,0.09024,199206890.7,199206890.7
6,2021-07-16,0.08542,0.13,0.08289,0.09975,0.08542,0.13,0.08289,0.09975,705176674.8,705176674.8
7,2021-07-15,0.08677,0.08942,0.07916,0.08543,0.08677,0.08942,0.07916,0.08543,37129921.3,37129921.3
8,2021-07-14,0.08794,0.08818,0.08067,0.08689,0.08794,0.08818,0.08067,0.08689,38904429.1,38904429.1
9,2021-07-13,0.09062,0.09084,0.08659,0.08795,0.09062,0.09084,0.08659,0.08795,35717734.6,35717734.6
10,2021-07-12,0.09636,0.09734,0.08856,0.09074,0.09636,0.09734,0.08856,0.09074,37708824.4,37708824.4
11,2021-07-11,0.09562,0.09985,0.09411,0.09635,0.09562,0.09985,0.09411,0.09635,42403136.3,42403136.3
12,2021-07-10,0.09876,0.10043,0.09413,0.09564,0.09876,0.10043,0.09413,0.09564,41334284.1,41334284.1
13,2021-07-09,0.09902,0.10089,0.094,0.09871,0.09902,0.10089,0.094,0.09871,64741660.0,64741660.0
14,2021-07-08,0.107,0.10713,0.09683,0.09913,0.107,0.10713,0.09683,0.09913,177048982.3,177048982.3
15,2021-07-07,0.10723,0.11195,0.10567,0.10687,0.10723,0.11195,0.10567,0.10687,43600745.9,43600745.9
16,2021-07-06,0.10631,0.1145,0.10568,0.10725,0.10631,0.1145,0.10568,0.10725,80191977.6,80191977.6
17,2021-07-05,0.11332,0.1137,0.10472,0.10625,0.11332,0.1137,0.10472,0.10625,55474064.1,55474064.1
18,2021-07-04,0.11406,0.1163,0.1119,0.11345,0.11406,0.1163,0.1119,0.11345,59122231.4,59122231.4
19,2021-07-03,0.11429,0.12,0.1121,0.11412,0.11429,0.12,0.1121,0.11412,55787815.3,55787815.3
20,2021-07-02,0.11392,0.116,0.1113,0.11429,0.11392,0.116,0.1113,0.11429,57903719.2,57903719.2
21,2021-07-01,0.11823,0.11929,0.1115,0.11397,0.11823,0.11929,0.1115,0.11397,69654258.1,69654258.1
22,2021-06-30,0.12038,0.125,0.11022,0.11824,0.12038,0.125,0.11022,0.11824,84458437.9,84458437.9
23,2021-06-29,0.11692,0.13299,0.11602,0.12023,0.11692,0.13299,0.11602,0.12023,158074977.7,158074977.7
24,2021-06-28,0.11721,0.12125,0.11248,0.11692,0.11721,0.12125,0.11248,0.11692,114359186.5,114359186.5
25,2021-06-27,0.11635,0.12158,0.10969,0.11708,0.11635,0.12158,0.10969,0.11708,132931108.5,132931108.5
26,2021-06-26,0.10698,0.1249,0.10285,0.11637,0.10698,0.1249,0.10285,0.11637,180972764.5,180972764.5
27,2021-06-25,0.12605,0.12918,0.10594,0.10698,0.12605,0.12918,0.10594,0.10698,124490071.1,124490071.1
28,2021-06-24,0.12668,0.135,0.11649,0.12596,0.12668,0.135,0.11649,0.12596,218802425.3,218802425.3
29,2021-06-23,0.09591,0.14357,0.09165,0.12661,0.09591,0.14357,0.09165,0.12661,414678478.9,414678478.9
30,2021-06-22,0.10477,0.122,0.08189,0.09618,0.10477,0.122,0.08189,0.09618,239802319.9,239802319.9
31,2021-06-21,0.144,0.14503,0.10265,0.1046,0.144,0.14503,0.10265,0.1046,177972647.0,177972647.0
32,2021-06-20,0.15368,0.15546,0.1339,0.14401,0.15368,0.15546,0.1339,0.14401,243960565.7,243960565.7
33,2021-06-19,0.1276,0.172,0.1251,0.15363,0.1276,0.172,0.1251,0.15363,593315949.6,593315949.6
34,2021-06-18,0.15423,0.15441,0.12446,0.12727,0.15423,0.15441,0.12446,0.12727,129820763.1,129820763.1
35,2021-06-17,0.15096,0.1722,0.147,0.15424,0.15096,0.1722,0.147,0.15424,166334187.0,166334187.0
36,2021-06-16,0.16692,0.16958,0.14674,0.15103,0.16692,0.16958,0.14674,0.15103,154225627.1,154225627.1
37,2021-06-15,0.17756,0.18081,0.16353,0.16718,0.17756,0.18081,0.16353,0.16718,190243410.5,190243410.5
38,2021-06-14,0.18446,0.203,0.17346,0.17758,0.18446,0.203,0.17346,0.17758,381407553.0,381407553.0
39,2021-06-13,0.18124,0.217,0.17167,0.1842,0.18124,0.217,0.17167,0.1842,847613193.2999998,847613193.2999998
40,2021-06-12,0.15489,0.18864,0.14,0.1815,0.15489,0.18864,0.14,0.1815,575170006.4,575170006.4
41,2021-06-11,0.19057,0.21878,0.15328,0.1549,0.19057,0.21878,0.15328,0.1549,819798365.7999998,819798365.7999998
42,2021-06-10,0.1402,0.23906,0.1281,0.19056,0.1402,0.23906,0.1281,0.19056,2812388311.6,2812388311.6
