,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.03655,0.03713,0.03624,0.03649,0.03655,0.03713,0.03624,0.03649,3108156.1,3108156.1
1,2021-07-21,0.03385,0.03753,0.03305,0.03654,0.03385,0.03753,0.03305,0.03654,78887575.5,78887575.5
2,2021-07-20,0.03622,0.03679,0.0324,0.03386,0.03622,0.03679,0.0324,0.03386,85769680.0,85769680.0
3,2021-07-19,0.03907,0.03929,0.03571,0.03621,0.03907,0.03929,0.03571,0.03621,76709003.1,76709003.1
4,2021-07-18,0.03803,0.041,0.03744,0.03906,0.03803,0.041,0.03744,0.03906,98658907.7,98658907.7
5,2021-07-17,0.03748,0.0396,0.03678,0.03803,0.03748,0.0396,0.03678,0.03803,86110323.2,86110323.2
6,2021-07-16,0.03836,0.03972,0.03671,0.03748,0.03836,0.03972,0.03671,0.03748,76529024.6,76529024.6
7,2021-07-15,0.03924,0.04136,0.0374,0.03828,0.03924,0.04136,0.0374,0.03828,118991109.9,118991109.9
8,2021-07-14,0.03845,0.04036,0.03622,0.03929,0.03845,0.04036,0.03622,0.03929,93305400.7,93305400.7
9,2021-07-13,0.03994,0.04077,0.03809,0.03843,0.03994,0.04077,0.03809,0.03843,59150306.5,59150306.5
10,2021-07-12,0.04161,0.04292,0.03952,0.03998,0.04161,0.04292,0.03952,0.03998,59994982.2,59994982.2
11,2021-07-11,0.04069,0.0445,0.04033,0.04156,0.04069,0.0445,0.04033,0.04156,61667003.1,61667003.1
12,2021-07-10,0.04179,0.04277,0.03969,0.04068,0.04179,0.04277,0.03969,0.04068,65569373.0,65569373.0
13,2021-07-09,0.04085,0.04247,0.03911,0.04177,0.04085,0.04247,0.03911,0.04177,54215596.9,54215596.9
14,2021-07-08,0.04428,0.04456,0.0401,0.04094,0.04428,0.04456,0.0401,0.04094,106172603.9,106172603.9
15,2021-07-07,0.04419,0.04726,0.04349,0.04433,0.04419,0.04726,0.04349,0.04433,103064929.2,103064929.2
16,2021-07-06,0.0434,0.04585,0.04337,0.04428,0.0434,0.04585,0.04337,0.04428,56204972.5,56204972.5
17,2021-07-05,0.04563,0.04617,0.04233,0.0434,0.04563,0.04617,0.04233,0.0434,83895462.7,83895462.7
18,2021-07-04,0.04529,0.04699,0.04354,0.04574,0.04529,0.04699,0.04354,0.04574,70272161.0,70272161.0
19,2021-07-03,0.04472,0.04613,0.04346,0.04529,0.04472,0.04613,0.04346,0.04529,61512948.9,61512948.9
20,2021-07-02,0.04489,0.0455,0.04233,0.04473,0.04489,0.0455,0.04233,0.04473,58298884.2,58298884.2
21,2021-07-01,0.04859,0.04871,0.04351,0.04498,0.04859,0.04871,0.04351,0.04498,73473835.2,73473835.2
22,2021-06-30,0.04739,0.04865,0.04446,0.04865,0.04739,0.04865,0.04446,0.04865,97747393.1,97747393.1
23,2021-06-29,0.04388,0.04877,0.04375,0.0473,0.04388,0.04877,0.04375,0.0473,95009549.2,95009549.2
24,2021-06-28,0.04265,0.04519,0.042,0.04387,0.04265,0.04519,0.042,0.04387,90448042.5,90448042.5
25,2021-06-27,0.04172,0.04297,0.0394,0.04265,0.04172,0.04297,0.0394,0.04265,78886950.0,78886950.0
26,2021-06-26,0.0396,0.04216,0.03871,0.04168,0.0396,0.04216,0.03871,0.04168,90847279.1,90847279.1
27,2021-06-25,0.04452,0.04659,0.03915,0.03963,0.04452,0.04659,0.03915,0.03963,119839492.9,119839492.9
28,2021-06-24,0.04373,0.047,0.04032,0.04449,0.04373,0.047,0.04032,0.04449,134510786.1,134510786.1
29,2021-06-23,0.03889,0.04564,0.03674,0.0438,0.03889,0.04564,0.03674,0.0438,140115665.8,140115665.8
30,2021-06-22,0.03788,0.0422,0.03184,0.03885,0.03788,0.0422,0.03184,0.03885,363841328.1,363841328.1
31,2021-06-21,0.04969,0.05021,0.03751,0.03785,0.04969,0.05021,0.03751,0.03785,230642574.4,230642574.4
32,2021-06-20,0.0491,0.05096,0.045,0.04968,0.0491,0.05096,0.045,0.04968,123446986.0,123446986.0
33,2021-06-19,0.05069,0.05177,0.04872,0.04914,0.05069,0.05177,0.04872,0.04914,89219815.8,89219815.8
34,2021-06-18,0.05572,0.05615,0.04809,0.05071,0.05572,0.05615,0.04809,0.05071,163800307.8,163800307.8
35,2021-06-17,0.05535,0.0584,0.0535,0.05574,0.05535,0.0584,0.0535,0.05574,92570077.4,92570077.4
36,2021-06-16,0.05803,0.05859,0.05389,0.05535,0.05803,0.05859,0.05389,0.05535,84205213.3,84205213.3
37,2021-06-15,0.05875,0.06198,0.05666,0.05808,0.05875,0.06198,0.05666,0.05808,107483392.5,107483392.5
38,2021-06-14,0.058,0.0596,0.05647,0.05887,0.058,0.0596,0.05647,0.05887,107946952.2,107946952.2
39,2021-06-13,0.05344,0.06019,0.0525,0.05791,0.05344,0.06019,0.0525,0.05791,169459771.4,169459771.4
