,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.6492,0.6554,0.6397,0.6501,0.6492,0.6554,0.6397,0.6501,440021.03,440021.03
1,2021-07-21,0.59,0.6547,0.5753,0.6491,0.59,0.6547,0.5753,0.6491,17003442.94,17003442.94
2,2021-07-20,0.6248,0.6386,0.5738,0.59,0.6248,0.6386,0.5738,0.59,17243497.44,17243497.44
3,2021-07-19,0.6834,0.69,0.62,0.6247,0.6834,0.69,0.62,0.6247,14149533.92,14149533.92
4,2021-07-18,0.6875,0.72,0.6653,0.6833,0.6875,0.72,0.6653,0.6833,10896059.33,10896059.33
5,2021-07-17,0.6568,0.7199,0.648,0.6872,0.6568,0.7199,0.648,0.6872,15557628.33,15557628.33
6,2021-07-16,0.6938,0.7146,0.6522,0.6568,0.6938,0.7146,0.6522,0.6568,11532546.85,11532546.85
7,2021-07-15,0.7402,0.7554,0.6832,0.6936,0.7402,0.7554,0.6832,0.6936,12266110.46,12266110.46
8,2021-07-14,0.7559,0.7586,0.6958,0.7408,0.7559,0.7586,0.6958,0.7408,13329942.19,13329942.19
9,2021-07-13,0.793,0.812,0.732,0.7559,0.793,0.812,0.732,0.7559,12609455.77,12609455.77
10,2021-07-12,0.8405,0.845,0.7814,0.7931,0.8405,0.845,0.7814,0.7931,7583361.1,7583361.1
11,2021-07-11,0.7912,0.8513,0.7781,0.8403,0.7912,0.8513,0.7781,0.8403,9795322.43,9795322.43
12,2021-07-10,0.8198,0.856,0.776,0.7916,0.8198,0.856,0.776,0.7916,9186823.56,9186823.56
13,2021-07-09,0.8151,0.8429,0.7777,0.8191,0.8151,0.8429,0.7777,0.8191,10742578.44,10742578.44
14,2021-07-08,0.8882,0.892,0.8018,0.8154,0.8882,0.892,0.8018,0.8154,12422524.72,12422524.72
15,2021-07-07,0.8515,0.9338,0.8378,0.8887,0.8515,0.9338,0.8378,0.8887,21183328.58,21183328.58
16,2021-07-06,0.8229,0.8844,0.8211,0.8522,0.8229,0.8844,0.8211,0.8522,13701176.48,13701176.48
17,2021-07-05,0.8449,0.8695,0.8044,0.822,0.8449,0.8695,0.8044,0.822,14749249.21,14749249.21
18,2021-07-04,0.8307,0.8799,0.7974,0.8455,0.8307,0.8799,0.7974,0.8455,14790892.79,14790892.79
19,2021-07-03,0.8272,0.8641,0.7988,0.8306,0.8272,0.8641,0.7988,0.8306,11015731.57,11015731.57
20,2021-07-02,0.8,0.8356,0.7622,0.8277,0.8,0.8356,0.7622,0.8277,13408750.3,13408750.3
21,2021-07-01,0.8684,0.8692,0.777,0.8002,0.8684,0.8692,0.777,0.8002,11940798.5,11940798.5
22,2021-06-30,0.8429,0.8772,0.785,0.8676,0.8429,0.8772,0.785,0.8676,17015452.01,17015452.01
23,2021-06-29,0.8201,0.8958,0.8175,0.8432,0.8201,0.8958,0.8175,0.8432,16416036.65,16416036.65
24,2021-06-28,0.7978,0.8374,0.7854,0.8205,0.7978,0.8374,0.7854,0.8205,12022963.94,12022963.94
25,2021-06-27,0.788,0.8019,0.7411,0.7979,0.788,0.8019,0.7411,0.7979,10279624.79,10279624.79
26,2021-06-26,0.7704,0.7997,0.7291,0.7872,0.7704,0.7997,0.7291,0.7872,13326705.03,13326705.03
27,2021-06-25,0.8395,0.8618,0.754,0.771,0.8395,0.8618,0.754,0.771,15511320.07,15511320.07
28,2021-06-24,0.7971,0.8493,0.7458,0.8391,0.7971,0.8493,0.7458,0.8391,15339472.01,15339472.01
29,2021-06-23,0.714,0.8358,0.6846,0.7961,0.714,0.8358,0.6846,0.7961,21923133.54,21923133.54
30,2021-06-22,0.7499,0.8061,0.62,0.7139,0.7499,0.8061,0.62,0.7139,56680907.15,56680907.15
31,2021-06-21,0.9614,0.9673,0.7428,0.7499,0.9614,0.9673,0.7428,0.7499,36905346.43,36905346.43
