,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2020-10-12,0.50225,0.516,0.49596,0.51431,0.50225,0.516,0.49596,0.51431,963892.3,963892.3
1,2020-10-11,0.51063,0.53034,0.49547,0.50156,0.51063,0.53034,0.49547,0.50156,11103039.2,11103039.2
2,2020-10-10,0.49719,0.539,0.49719,0.51029,0.49719,0.539,0.49719,0.51029,13048632.2,13048632.2
3,2020-10-09,0.45761,0.50605,0.44758,0.49749,0.45761,0.50605,0.44758,0.49749,18726833.6,18726833.6
4,2020-10-08,0.46152,0.47321,0.41214,0.45784,0.46152,0.47321,0.41214,0.45784,21983663.8,21983663.8
5,2020-10-07,0.43569,0.4627,0.39832,0.46117,0.43569,0.4627,0.39832,0.46117,21283819.9,21283819.9
6,2020-10-06,0.52105,0.52151,0.42895,0.4357,0.52105,0.52151,0.42895,0.4357,21108283.8,21108283.8
7,2020-10-05,0.53382,0.55,0.51483,0.51943,0.53382,0.55,0.51483,0.51943,9244704.3,9244704.3
8,2020-10-04,0.54283,0.54831,0.52385,0.53357,0.54283,0.54831,0.52385,0.53357,8518089.7,8518089.7
9,2020-10-03,0.53567,0.575,0.52501,0.54284,0.53567,0.575,0.52501,0.54284,13320614.6,13320614.6
10,2020-10-02,0.57877,0.58766,0.47946,0.53423,0.57877,0.58766,0.47946,0.53423,28779402.7,28779402.7
11,2020-10-01,0.53535,0.59499,0.51749,0.57968,0.53535,0.59499,0.51749,0.57968,30802925.5,30802925.5
12,2020-09-30,0.53658,0.5437,0.5105,0.53524,0.53658,0.5437,0.5105,0.53524,13054024.5,13054024.5
13,2020-09-29,0.55271,0.56552,0.50516,0.53565,0.55271,0.56552,0.50516,0.53565,18474173.0,18474173.0
14,2020-09-28,0.57071,0.58963,0.53974,0.55349,0.57071,0.58963,0.53974,0.55349,20316914.2,20316914.2
15,2020-09-27,0.56525,0.60359,0.5365,0.57005,0.56525,0.60359,0.5365,0.57005,19473480.3,19473480.3
16,2020-09-26,0.54786,0.58,0.51973,0.56519,0.54786,0.58,0.51973,0.56519,21592440.9,21592440.9
17,2020-09-25,0.51297,0.58029,0.47109,0.5475,0.51297,0.58029,0.47109,0.5475,27809486.4,27809486.4
18,2020-09-24,0.44958,0.515,0.43948,0.513,0.44958,0.515,0.43948,0.513,21834882.0,21834882.0
19,2020-09-23,0.52305,0.52339,0.44175,0.44951,0.52305,0.52339,0.44175,0.44951,29180291.0,29180291.0
20,2020-09-22,0.46821,0.52889,0.44882,0.52188,0.46821,0.52889,0.44882,0.52188,26076455.2,26076455.2
21,2020-09-21,0.57375,0.58432,0.44034,0.46669,0.57375,0.58432,0.44034,0.46669,47051840.8,47051840.8
22,2020-09-20,0.60057,0.62661,0.561,0.57286,0.60057,0.62661,0.561,0.57286,13325955.1,13325955.1
23,2020-09-19,0.58076,0.65184,0.57576,0.60141,0.58076,0.65184,0.57576,0.60141,20306310.7,20306310.7
24,2020-09-18,0.57046,0.59464,0.55276,0.58152,0.57046,0.59464,0.55276,0.58152,20577532.6,20577532.6
25,2020-09-17,0.60596,0.64466,0.551,0.57046,0.60596,0.64466,0.551,0.57046,30574487.6,30574487.6
26,2020-09-16,0.58802,0.62743,0.54132,0.6069,0.58802,0.62743,0.54132,0.6069,27152698.0,27152698.0
27,2020-09-15,0.68745,0.704,0.58359,0.58793,0.68745,0.704,0.58359,0.58793,24578371.2,24578371.2
28,2020-09-14,0.69439,0.7214,0.6515,0.68745,0.69439,0.7214,0.6515,0.68745,24502443.3,24502443.3
29,2020-09-13,0.76354,0.77499,0.63584,0.69261,0.76354,0.77499,0.63584,0.69261,26890907.8,26890907.8
30,2020-09-12,0.69042,0.76628,0.66954,0.76272,0.69042,0.76628,0.66954,0.76272,20358477.5,20358477.5
31,2020-09-11,0.68319,0.70727,0.64044,0.69044,0.68319,0.70727,0.64044,0.69044,17398598.4,17398598.4
32,2020-09-10,0.67904,0.723,0.65652,0.68271,0.67904,0.723,0.65652,0.68271,29003741.8,29003741.8
33,2020-09-09,0.55014,0.705,0.52649,0.67894,0.55014,0.705,0.52649,0.67894,38036643.8,38036643.8
34,2020-09-08,0.57651,0.591,0.52858,0.55134,0.57651,0.591,0.52858,0.55134,20219876.3,20219876.3
35,2020-09-07,0.58873,0.59624,0.4946,0.5765,0.58873,0.59624,0.4946,0.5765,27073241.8,27073241.8
36,2020-09-06,0.52756,0.60899,0.45152,0.58873,0.52756,0.60899,0.45152,0.58873,52011677.0,52011677.0
37,2020-09-05,0.64824,0.675,0.46051,0.52692,0.64824,0.675,0.46051,0.52692,66830018.3,66830018.3
38,2020-09-04,0.50769,0.6753,0.48922,0.6484,0.50769,0.6753,0.48922,0.6484,50861590.0,50861590.0
39,2020-09-03,0.68817,0.715,0.45,0.50855,0.68817,0.715,0.45,0.50855,49697668.2,49697668.2
40,2020-09-02,0.75285,0.7549,0.56,0.68977,0.75285,0.7549,0.56,0.68977,45310528.8,45310528.8
41,2020-09-01,0.74299,0.79265,0.723,0.75413,0.74299,0.79265,0.723,0.75413,32407645.8,32407645.8
42,2020-08-31,0.78288,0.80204,0.72845,0.7425,0.78288,0.80204,0.72845,0.7425,24506607.5,24506607.5
43,2020-08-30,0.78271,0.818,0.7611,0.78303,0.78271,0.818,0.7611,0.78303,23515846.4,23515846.4
44,2020-08-29,0.80743,0.82456,0.77238,0.78215,0.80743,0.82456,0.77238,0.78215,23381331.2,23381331.2
45,2020-08-28,0.76761,0.8425,0.74355,0.80756,0.76761,0.8425,0.74355,0.80756,41234384.4,41234384.4
46,2020-08-27,0.821,0.86717,0.718,0.76918,0.821,0.86717,0.718,0.76918,51944498.2,51944498.2
47,2020-08-26,0.77094,0.89985,0.72711,0.82023,0.77094,0.89985,0.72711,0.82023,99478286.2,99478286.2
48,2020-08-25,0.73109,0.78219,0.65,0.77094,0.73109,0.78219,0.65,0.77094,97610760.4,97610760.4
49,2020-08-24,0.56404,0.7499,0.5619,0.73183,0.56404,0.7499,0.5619,0.73183,70111394.4,70111394.4
50,2020-08-23,0.58233,0.592,0.54258,0.56512,0.58233,0.592,0.54258,0.56512,17756725.8,17756725.8
51,2020-08-22,0.5424,0.595,0.50867,0.58236,0.5424,0.595,0.50867,0.58236,22007664.7,22007664.7
52,2020-08-21,0.64689,0.665,0.53671,0.54226,0.64689,0.665,0.53671,0.54226,29653880.4,29653880.4
53,2020-08-20,0.54655,0.66,0.54655,0.64776,0.54655,0.66,0.54655,0.64776,28304898.9,28304898.9
54,2020-08-19,0.58343,0.60877,0.515,0.54655,0.58343,0.60877,0.515,0.54655,26250916.0,26250916.0
55,2020-08-18,0.58888,0.62964,0.55,0.58343,0.58888,0.62964,0.55,0.58343,29060383.0,29060383.0
56,2020-08-17,0.52939,0.62175,0.52803,0.58888,0.52939,0.62175,0.52803,0.58888,35332890.0,35332890.0
57,2020-08-16,0.47109,0.55,0.45573,0.52917,0.47109,0.55,0.45573,0.52917,38819543.8,38819543.8
58,2020-08-15,0.45962,0.5,0.43606,0.47109,0.45962,0.5,0.43606,0.47109,33758155.7,33758155.7
59,2020-08-14,0.41367,0.4608,0.39984,0.45934,0.41367,0.4608,0.39984,0.45934,36719095.1,36719095.1
60,2020-08-13,0.44192,0.46859,0.39816,0.41316,0.44192,0.46859,0.39816,0.41316,51720029.3,51720029.3
61,2020-08-12,0.40654,0.47185,0.3961,0.44057,0.40654,0.47185,0.3961,0.44057,88000367.8,88000367.8
62,2020-08-11,0.40088,0.4092,0.34994,0.40595,0.40088,0.4092,0.34994,0.40595,35865925.9,35865925.9
