,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,27.907,28.21,27.606,28.053,27.907,28.21,27.606,28.053,33202.951,33202.951
1,2021-07-21,25.849,28.893,25.228,27.907,25.849,28.893,25.228,27.907,851131.608,851131.608
2,2021-07-20,27.707,28.21,25.023,25.845,27.707,28.21,25.023,25.845,759531.283,759531.283
3,2021-07-19,29.718,29.928,27.601,27.702,29.718,29.928,27.601,27.702,432757.358,432757.358
4,2021-07-18,29.591,30.782,28.986,29.733,29.591,30.782,28.986,29.733,409000.527,409000.527
5,2021-07-17,29.68,30.371,28.948,29.589,29.68,30.371,28.948,29.589,396060.755,396060.755
6,2021-07-16,31.407,31.918,29.543,29.665,31.407,31.918,29.543,29.665,538317.067,538317.067
7,2021-07-15,32.829,33.259,30.75,31.406,32.829,33.259,30.75,31.406,429366.716,429366.716
8,2021-07-14,33.484,33.596,30.781,32.839,33.484,33.596,30.781,32.839,537077.08,537077.08
9,2021-07-13,33.755,34.181,32.45,33.463,33.755,34.181,32.45,33.463,492492.716,492492.716
10,2021-07-12,34.22,35.242,32.704,33.747,34.22,35.242,32.704,33.747,526780.712,526780.712
11,2021-07-11,34.084,34.735,33.417,34.203,34.084,34.735,33.417,34.203,269254.341,269254.341
12,2021-07-10,34.69,35.446,33.193,34.062,34.69,35.446,33.193,34.062,395251.187,395251.187
13,2021-07-09,34.014,35.227,32.222,34.674,34.014,35.227,32.222,34.674,550068.036,550068.036
14,2021-07-08,37.018,37.052,33.179,34.018,37.018,37.052,33.179,34.018,745638.529,745638.529
15,2021-07-07,36.864,38.451,36.482,36.998,36.864,38.451,36.482,36.998,469757.283,469757.283
16,2021-07-06,35.962,37.987,35.838,36.88,35.962,37.987,35.838,36.88,510398.437,510398.437
17,2021-07-05,37.518,37.52,35.162,35.916,37.518,37.52,35.162,35.916,775188.849,775188.849
18,2021-07-04,36.335,38.755,35.481,37.545,36.335,38.755,35.481,37.545,703392.489,703392.489
19,2021-07-03,35.439,37.556,34.956,36.348,35.439,37.556,34.956,36.348,665897.658,665897.658
20,2021-07-02,34.094,35.521,33.369,35.438,34.094,35.521,33.369,35.438,817010.792,817010.792
21,2021-07-01,36.648,36.675,33.375,34.097,36.648,36.675,33.375,34.097,800890.527,800890.527
22,2021-06-30,35.126,37.797,33.444,36.648,35.126,37.797,33.444,36.648,1798183.245,1798183.245
23,2021-06-29,33.173,36.939,32.999,35.148,33.173,36.939,32.999,35.148,1495720.348,1495720.348
24,2021-06-28,31.972,33.347,30.521,33.171,31.972,33.347,30.521,33.171,1195341.989,1195341.989
