,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.7667,0.7728,0.7494,0.768,0.7667,0.7728,0.7494,0.768,291491.15,291491.15
1,2021-07-21,0.709,0.7694,0.6746,0.7659,0.709,0.7694,0.6746,0.7659,5667954.76,5667954.76
2,2021-07-20,0.773,0.7878,0.6732,0.7093,0.773,0.7878,0.6732,0.7093,6336602.71,6336602.71
3,2021-07-19,0.8087,0.8789,0.7667,0.7738,0.8087,0.8789,0.7667,0.7738,13040195.21,13040195.21
4,2021-07-18,0.7928,0.8182,0.7721,0.8086,0.7928,0.8182,0.7721,0.8086,2232591.48,2232591.48
5,2021-07-17,0.8065,0.8201,0.7651,0.792,0.8065,0.8201,0.7651,0.792,4046837.61,4046837.61
6,2021-07-16,0.8908,0.8922,0.7959,0.8084,0.8908,0.8922,0.7959,0.8084,5003954.33,5003954.33
7,2021-07-15,0.9323,0.9347,0.8482,0.8913,0.9323,0.9347,0.8482,0.8913,6559509.67,6559509.67
8,2021-07-14,0.8907,1.0361,0.8904,0.9319,0.8907,1.0361,0.8904,0.9319,21683029.84,21683029.84
9,2021-07-13,0.9217,0.9232,0.8494,0.8898,0.9217,0.9232,0.8494,0.8898,2666178.35,2666178.35
10,2021-07-12,0.9515,0.9519,0.8685,0.9223,0.9515,0.9519,0.8685,0.9223,3106246.03,3106246.03
11,2021-07-11,0.9486,0.9718,0.9072,0.9515,0.9486,0.9718,0.9072,0.9515,3367556.93,3367556.93
12,2021-07-10,0.9933,1.0024,0.9262,0.9471,0.9933,1.0024,0.9262,0.9471,4688193.75,4688193.75
13,2021-07-09,1.0687,1.0716,0.9345,0.993,1.0687,1.0716,0.9345,0.993,11990050.59,11990050.59
14,2021-07-08,0.9679,1.0942,0.8952,1.0687,0.9679,1.0942,0.8952,1.0687,13018560.41,13018560.41
15,2021-07-07,0.9573,1.1045,0.934,0.9683,0.9573,1.1045,0.934,0.9683,14482414.61,14482414.61
16,2021-07-06,0.8833,1.0343,0.8782,0.9583,0.8833,1.0343,0.8782,0.9583,16133501.97,16133501.97
17,2021-07-05,0.8655,0.8976,0.819,0.8841,0.8655,0.8976,0.819,0.8841,6234659.11,6234659.11
18,2021-07-04,0.8655,0.94,0.8583,0.8655,0.8655,0.94,0.8583,0.8655,8460821.56,8460821.56
