,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.9999,1.0,0.9999,0.9999,0.9999,1.0,0.9999,0.9999,228751.22,228751.22
1,2021-07-21,0.9998,1.0002,0.9995,1.0,0.9998,1.0002,0.9995,1.0,9910537.22,9910537.22
2,2021-07-20,1.0,1.0007,0.9996,0.9999,1.0,1.0007,0.9996,0.9999,6627981.38,6627981.38
3,2021-07-19,0.9998,1.0009,0.9998,0.9999,0.9998,1.0009,0.9998,0.9999,5253806.7,5253806.7
4,2021-07-18,0.9997,0.9999,0.9996,0.9998,0.9997,0.9999,0.9996,0.9998,2722239.81,2722239.81
5,2021-07-17,0.9998,1.0005,0.9996,0.9997,0.9998,1.0005,0.9996,0.9997,3355795.83,3355795.83
6,2021-07-16,1.0001,1.0021,0.9992,0.9998,1.0001,1.0021,0.9992,0.9998,4690514.54,4690514.54
7,2021-07-15,1.0,1.0006,0.9999,1.0001,1.0,1.0006,0.9999,1.0001,7114820.26,7114820.26
8,2021-07-14,0.9999,1.0001,0.9999,1.0,0.9999,1.0001,0.9999,1.0,3720887.92,3720887.92
9,2021-07-13,1.0,1.0001,0.9997,1.0,1.0,1.0001,0.9997,1.0,4905504.94,4905504.94
10,2021-07-12,1.0,1.0,0.9999,0.9999,1.0,1.0,0.9999,0.9999,2655117.76,2655117.76
11,2021-07-11,0.9999,1.0003,0.9998,1.0,0.9999,1.0003,0.9998,1.0,1881978.75,1881978.75
12,2021-07-10,0.9999,1.0006,0.9997,0.9999,0.9999,1.0006,0.9997,0.9999,3128494.49,3128494.49
13,2021-07-09,1.0,1.0005,0.9998,0.9999,1.0,1.0005,0.9998,0.9999,3897926.99,3897926.99
14,2021-07-08,0.9998,1.0006,0.9995,1.0,0.9998,1.0006,0.9995,1.0,5043708.95,5043708.95
15,2021-07-07,0.9998,0.9999,0.9996,0.9997,0.9998,0.9999,0.9996,0.9997,3773436.96,3773436.96
16,2021-07-06,0.9996,1.0005,0.9994,0.9999,0.9996,1.0005,0.9994,0.9999,5433132.93,5433132.93
17,2021-07-05,0.9998,0.9999,0.9995,0.9995,0.9998,0.9999,0.9995,0.9995,3870013.44,3870013.44
18,2021-07-04,0.9998,1.0006,0.9997,0.9999,0.9998,1.0006,0.9997,0.9999,3041111.74,3041111.74
19,2021-07-03,0.9999,1.0001,0.9993,0.9998,0.9999,1.0001,0.9993,0.9998,2972121.23,2972121.23
20,2021-07-02,0.9997,1.0004,0.9997,0.9998,0.9997,1.0004,0.9997,0.9998,3881826.7,3881826.7
21,2021-07-01,0.9997,1.0006,0.9996,0.9997,0.9997,1.0006,0.9996,0.9997,5757644.3,5757644.3
22,2021-06-30,1.0,1.0,0.9996,0.9998,1.0,1.0,0.9996,0.9998,4862943.05,4862943.05
23,2021-06-29,0.9999,1.0,0.999,1.0,0.9999,1.0,0.999,1.0,7294645.33,7294645.33
24,2021-06-28,0.9999,1.0004,0.9993,0.9999,0.9999,1.0004,0.9993,0.9999,5073756.29,5073756.29
25,2021-06-27,1.0001,1.0001,0.9993,0.9998,1.0001,1.0001,0.9993,0.9998,4599762.39,4599762.39
26,2021-06-26,1.0,1.0006,0.9997,1.0,1.0,1.0006,0.9997,1.0,7731127.96,7731127.96
27,2021-06-25,1.0001,1.0007,0.9998,1.0,1.0001,1.0007,0.9998,1.0,14561102.14,14561102.14
28,2021-06-24,1.0,1.0007,0.9993,1.0001,1.0,1.0007,0.9993,1.0001,10606707.03,10606707.03
29,2021-06-23,0.9996,1.0001,0.9992,0.9999,0.9996,1.0001,0.9992,0.9999,11629012.93,11629012.93
30,2021-06-22,1.0002,1.0013,0.9967,0.9996,1.0002,1.0013,0.9967,0.9996,23820261.21,23820261.21
31,2021-06-21,1.0003,1.0005,0.9989,1.0002,1.0003,1.0005,0.9989,1.0002,17155602.37,17155602.37
32,2021-06-20,0.9998,1.0013,0.9996,1.0002,0.9998,1.0013,0.9996,1.0002,7867075.75,7867075.75
33,2021-06-19,0.9995,0.9999,0.9993,0.9997,0.9995,0.9999,0.9993,0.9997,5950837.74,5950837.74
34,2021-06-18,1.0001,1.0003,0.9994,0.9995,1.0001,1.0003,0.9994,0.9995,9020950.38,9020950.38
35,2021-06-17,1.0002,1.0008,0.9994,1.0001,1.0002,1.0008,0.9994,1.0001,10505287.4,10505287.4
36,2021-06-16,0.9999,1.0003,0.9995,1.0002,0.9999,1.0003,0.9995,1.0002,7916715.07,7916715.07
37,2021-06-15,0.9997,1.0004,0.9995,0.9999,0.9997,1.0004,0.9995,0.9999,7785508.83,7785508.83
38,2021-06-14,1.0,1.0005,0.9994,0.9997,1.0,1.0005,0.9994,0.9997,8700229.41,8700229.41
39,2021-06-13,1.0,1.0003,0.9996,0.9999,1.0,1.0003,0.9996,0.9999,9522885.43,9522885.43
40,2021-06-12,1.0,1.0004,0.9995,1.0,1.0,1.0004,0.9995,1.0,10592097.16,10592097.16
41,2021-06-11,0.9995,1.0001,0.9994,1.0001,0.9995,1.0001,0.9994,1.0001,8986700.17,8986700.17
42,2021-06-10,0.9994,1.0003,0.9991,0.9996,0.9994,1.0003,0.9991,0.9996,9066803.54,9066803.54
43,2021-06-09,0.9993,0.9994,0.999,0.9994,0.9993,0.9994,0.999,0.9994,8817417.45,8817417.45
44,2021-06-08,0.9996,1.0005,0.9988,0.9993,0.9996,1.0005,0.9988,0.9993,15776075.13,15776075.13
45,2021-06-07,0.9998,1.0001,0.9992,0.9996,0.9998,1.0001,0.9992,0.9996,9404463.07,9404463.07
46,2021-06-06,0.9997,1.0,0.9993,0.9998,0.9997,1.0,0.9993,0.9998,5566712.04,5566712.04
47,2021-06-05,0.9995,1.0005,0.9992,0.9997,0.9995,1.0005,0.9992,0.9997,24604865.33,24604865.33
48,2021-06-04,1.0,1.0,0.9991,0.9994,1.0,1.0,0.9991,0.9994,12220562.6,12220562.6
49,2021-06-03,0.9998,1.0004,0.9993,0.9999,0.9998,1.0004,0.9993,0.9999,11041155.74,11041155.74
50,2021-06-02,1.0001,1.0004,0.9998,0.9999,1.0001,1.0004,0.9998,0.9999,11144687.44,11144687.44
