,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-07-22,0.2283,0.23075,0.22605,0.22892,0.2283,0.23075,0.22605,0.22892,6098547.2,6098547.2
1,2021-07-21,0.21202,0.22995,0.20682,0.22825,0.21202,0.22995,0.20682,0.22825,130062872.1,130062872.1
2,2021-07-20,0.21149,0.21545,0.19853,0.21192,0.21149,0.21545,0.19853,0.21192,145135518.7,145135518.7
3,2021-07-19,0.2298,0.23116,0.2107,0.21148,0.2298,0.23116,0.2107,0.21148,88892811.3,88892811.3
4,2021-07-18,0.23256,0.24052,0.22612,0.22977,0.23256,0.24052,0.22612,0.22977,82673817.0,82673817.0
5,2021-07-17,0.23529,0.23854,0.22743,0.2326,0.23529,0.23854,0.22743,0.2326,106689058.3,106689058.3
6,2021-07-16,0.2409,0.258,0.233,0.23513,0.2409,0.258,0.233,0.23513,248451258.4,248451258.4
7,2021-07-15,0.24,0.24343,0.22602,0.24081,0.24,0.24343,0.22602,0.24081,112583379.4,112583379.4
8,2021-07-14,0.23224,0.24491,0.21898,0.23994,0.23224,0.24491,0.21898,0.23994,121116707.0,121116707.0
9,2021-07-13,0.23834,0.24232,0.22703,0.23222,0.23834,0.24232,0.22703,0.23222,88258546.5,88258546.5
10,2021-07-12,0.246,0.25219,0.23554,0.23834,0.246,0.25219,0.23554,0.23834,81989539.3,81989539.3
11,2021-07-11,0.24489,0.24808,0.24011,0.24595,0.24489,0.24808,0.24011,0.24595,56935693.5,56935693.5
12,2021-07-10,0.24559,0.25295,0.23821,0.24478,0.24559,0.25295,0.23821,0.24478,67326821.3,67326821.3
13,2021-07-09,0.24291,0.24937,0.23242,0.24566,0.24291,0.24937,0.23242,0.24566,105063944.1,105063944.1
14,2021-07-08,0.25655,0.25776,0.23888,0.24286,0.25655,0.25776,0.23888,0.24286,112961219.4,112961219.4
15,2021-07-07,0.26037,0.26571,0.25557,0.25641,0.26037,0.26571,0.25557,0.25641,98688669.5,98688669.5
16,2021-07-06,0.25349,0.26784,0.25225,0.26043,0.25349,0.26784,0.25225,0.26043,100162470.3,100162470.3
17,2021-07-05,0.26794,0.26794,0.25043,0.25326,0.26794,0.26794,0.25043,0.25326,104916705.5,104916705.5
18,2021-07-04,0.26382,0.27235,0.25856,0.26814,0.26382,0.27235,0.25856,0.26814,84602586.1,84602586.1
19,2021-07-03,0.26295,0.26999,0.25892,0.26394,0.26295,0.26999,0.25892,0.26394,89230788.4,89230788.4
20,2021-07-02,0.2687,0.2734,0.25223,0.26287,0.2687,0.2734,0.25223,0.26287,85674710.1,85674710.1
21,2021-07-01,0.28393,0.28428,0.25962,0.2689,0.28393,0.28428,0.25962,0.2689,106958778.5,106958778.5
22,2021-06-30,0.28302,0.28615,0.26601,0.28389,0.28302,0.28615,0.26601,0.28389,126449804.6,126449804.6
23,2021-06-29,0.26349,0.29374,0.26237,0.2832,0.26349,0.29374,0.26237,0.2832,160513261.7,160513261.7
24,2021-06-28,0.25969,0.26948,0.25575,0.26349,0.25969,0.26948,0.25575,0.26349,118145051.4,118145051.4
25,2021-06-27,0.24947,0.25987,0.23914,0.25979,0.24947,0.25987,0.23914,0.25979,135039946.2,135039946.2
26,2021-06-26,0.24089,0.24966,0.22815,0.2494,0.24089,0.24966,0.22815,0.2494,120400311.4,120400311.4
27,2021-06-25,0.26878,0.27442,0.24034,0.24091,0.26878,0.27442,0.24034,0.24091,162018488.3,162018488.3
28,2021-06-24,0.25565,0.27331,0.24302,0.2688,0.25565,0.27331,0.24302,0.2688,143398015.9,143398015.9
29,2021-06-23,0.23531,0.27,0.22433,0.25546,0.23531,0.27,0.22433,0.25546,203372677.3,203372677.3
30,2021-06-22,0.236,0.25913,0.19877,0.23503,0.236,0.25913,0.19877,0.23503,361659240.5,361659240.5
31,2021-06-21,0.29737,0.3025,0.2351,0.23581,0.29737,0.3025,0.2351,0.23581,247331873.4,247331873.4
32,2021-06-20,0.28861,0.29925,0.26929,0.29739,0.28861,0.29925,0.26929,0.29739,126135963.5,126135963.5
33,2021-06-19,0.29726,0.3066,0.28853,0.28853,0.29726,0.3066,0.28853,0.28853,83955933.6,83955933.6
34,2021-06-18,0.31756,0.31868,0.28454,0.29725,0.31756,0.31868,0.28454,0.29725,150968056.9,150968056.9
35,2021-06-17,0.31767,0.3303,0.31,0.31751,0.31767,0.3303,0.31,0.31751,101043771.6,101043771.6
36,2021-06-16,0.33353,0.342,0.31474,0.31766,0.33353,0.342,0.31474,0.31766,142476461.1,142476461.1
37,2021-06-15,0.343,0.35199,0.32967,0.33352,0.343,0.35199,0.32967,0.33352,138913498.4,138913498.4
38,2021-06-14,0.34486,0.3499,0.327,0.343,0.34486,0.3499,0.327,0.343,152209858.1,152209858.1
39,2021-06-13,0.32792,0.34854,0.31091,0.34486,0.32792,0.34854,0.31091,0.34486,141947456.3,141947456.3
40,2021-06-12,0.31811,0.344,0.29933,0.32784,0.31811,0.344,0.29933,0.32784,190275454.1,190275454.1
41,2021-06-11,0.33883,0.34282,0.31394,0.31816,0.33883,0.34282,0.31394,0.31816,141793334.0,141793334.0
42,2021-06-10,0.36513,0.36717,0.33102,0.33887,0.36513,0.36717,0.33102,0.33887,150510872.2,150510872.2
43,2021-06-09,0.34923,0.36543,0.32438,0.36501,0.34923,0.36543,0.32438,0.36501,196490428.2,196490428.2
44,2021-06-08,0.34654,0.35676,0.30952,0.34928,0.34654,0.35676,0.30952,0.34928,227386875.6,227386875.6
45,2021-06-07,0.38046,0.39166,0.3423,0.3463,0.38046,0.39166,0.3423,0.3463,147880251.8,147880251.8
46,2021-06-06,0.3748,0.3885,0.37137,0.38053,0.3748,0.3885,0.37137,0.38053,101616596.9,101616596.9
47,2021-06-05,0.3845,0.40575,0.36299,0.37488,0.3845,0.40575,0.36299,0.37488,180484545.4,180484545.4
48,2021-06-04,0.42548,0.42548,0.36916,0.3845,0.42548,0.42548,0.36916,0.3845,223812601.5,223812601.5
49,2021-06-03,0.41875,0.43414,0.41241,0.4253,0.41875,0.43414,0.41241,0.4253,194089946.6,194089946.6
50,2021-06-02,0.41873,0.43548,0.40538,0.4188,0.41873,0.43548,0.40538,0.4188,229354582.1,229354582.1
51,2021-06-01,0.40267,0.44994,0.38368,0.41864,0.40267,0.44994,0.38368,0.41864,417356905.3,417356905.3
52,2021-05-31,0.37441,0.40971,0.3651,0.40243,0.37441,0.40971,0.3651,0.40243,258272168.3,258272168.3
53,2021-05-30,0.36727,0.39888,0.34503,0.37466,0.36727,0.39888,0.34503,0.37466,207728302.7,207728302.7
54,2021-05-29,0.39919,0.40997,0.34349,0.36728,0.39919,0.40997,0.34349,0.36728,254464417.9,254464417.9
55,2021-05-28,0.42061,0.426,0.36408,0.39933,0.42061,0.426,0.36408,0.39933,314680966.4,314680966.4
56,2021-05-27,0.44367,0.447,0.40888,0.42058,0.44367,0.447,0.40888,0.42058,223059472.8,223059472.8
57,2021-05-26,0.42911,0.47,0.42031,0.44368,0.42911,0.47,0.42031,0.44368,334701996.9,334701996.9
58,2021-05-25,0.43928,0.46,0.40622,0.42922,0.43928,0.46,0.40622,0.42922,396258266.0,396258266.0
59,2021-05-24,0.36201,0.45,0.35874,0.43964,0.36201,0.45,0.35874,0.43964,577274117.7,577274117.7
60,2021-05-23,0.38917,0.40135,0.27335,0.362,0.38917,0.40135,0.27335,0.362,535763670.6,535763670.6
61,2021-05-22,0.41884,0.42209,0.36417,0.38917,0.41884,0.42209,0.36417,0.38917,329935744.9,329935744.9
62,2021-05-21,0.4947,0.51315,0.37014,0.41884,0.4947,0.51315,0.37014,0.41884,402186161.2,402186161.2
63,2021-05-20,0.44302,0.53386,0.39578,0.49469,0.44302,0.53386,0.39578,0.49469,522575719.6,522575719.6
64,2021-05-19,0.64551,0.65576,0.285,0.44315,0.64551,0.65576,0.285,0.44315,1018636062.6,1018636062.6
65,2021-05-18,0.64306,0.7,0.62999,0.6454,0.64306,0.7,0.62999,0.6454,432553040.0,432553040.0
66,2021-05-17,0.71051,0.71321,0.61899,0.64323,0.71051,0.71321,0.61899,0.64323,574620997.2,574620997.2
67,2021-05-16,0.68077,0.7985,0.66,0.71027,0.68077,0.7985,0.66,0.71027,843950524.9,843950524.9
68,2021-05-15,0.66942,0.74359,0.64936,0.68081,0.66942,0.74359,0.64936,0.68081,691112260.5,691112260.5
69,2021-05-14,0.65363,0.70817,0.63263,0.66885,0.65363,0.70817,0.63263,0.66885,473112329.9,473112329.9
70,2021-05-13,0.59104,0.662,0.53871,0.65366,0.59104,0.662,0.53871,0.65366,645717296.0,645717296.0
71,2021-05-12,0.73486,0.745,0.57892,0.59554,0.73486,0.745,0.57892,0.59554,485806355.3,485806355.3
72,2021-05-11,0.65683,0.74321,0.61981,0.73465,0.65683,0.74321,0.61981,0.73465,753173523.0,753173523.0
73,2021-05-10,0.62783,0.78,0.60802,0.65643,0.62783,0.78,0.60802,0.65643,1299537754.0,1299537754.0
74,2021-05-09,0.61451,0.63324,0.57476,0.62804,0.61451,0.63324,0.57476,0.62804,293580379.8,293580379.8
75,2021-05-08,0.63086,0.64082,0.60377,0.6138,0.63086,0.64082,0.60377,0.6138,198172070.8,198172070.8
76,2021-05-07,0.65085,0.689,0.60427,0.63063,0.65085,0.689,0.60427,0.63063,443642907.6,443642907.6
77,2021-05-06,0.60502,0.69,0.59428,0.65085,0.60502,0.69,0.59428,0.65085,929598629.7,929598629.7
78,2021-05-05,0.50156,0.606,0.49562,0.60473,0.50156,0.606,0.49562,0.60473,506467046.1,506467046.1
79,2021-05-04,0.55081,0.55091,0.49365,0.50152,0.55081,0.55091,0.49365,0.50152,297465548.8,297465548.8
80,2021-05-03,0.55577,0.57322,0.5394,0.55044,0.55577,0.57322,0.5394,0.55044,241217287.8,241217287.8
81,2021-05-02,0.53999,0.5599,0.50613,0.55601,0.53999,0.5599,0.50613,0.55601,256628501.5,256628501.5
82,2021-05-01,0.52966,0.54,0.5103,0.54,0.52966,0.54,0.5103,0.54,171586918.1,171586918.1
83,2021-04-30,0.49151,0.54083,0.48477,0.52966,0.49151,0.54083,0.48477,0.52966,295427059.1,295427059.1
84,2021-04-29,0.49723,0.50863,0.47602,0.49162,0.49723,0.50863,0.47602,0.49162,167114135.7,167114135.7
85,2021-04-28,0.50964,0.52183,0.4743,0.49687,0.50964,0.52183,0.4743,0.49687,204446170.8,204446170.8
86,2021-04-27,0.48596,0.52246,0.47626,0.50963,0.48596,0.52246,0.47626,0.50963,235691948.5,235691948.5
87,2021-04-26,0.41632,0.48655,0.41392,0.486,0.41632,0.48655,0.41392,0.486,275058388.1,275058388.1
88,2021-04-25,0.42498,0.44483,0.40031,0.4162,0.42498,0.44483,0.40031,0.4162,193136275.2,193136275.2
89,2021-04-24,0.45065,0.46126,0.41202,0.42507,0.45065,0.46126,0.41202,0.42507,282667066.5,282667066.5
90,2021-04-23,0.4498,0.45723,0.35823,0.45069,0.4498,0.45723,0.35823,0.45069,492741000.7,492741000.7
91,2021-04-22,0.48891,0.515,0.444,0.44951,0.48891,0.515,0.444,0.44951,308597892.4,308597892.4
92,2021-04-21,0.52895,0.53756,0.48404,0.48894,0.52895,0.53756,0.48404,0.48894,257880130.7,257880130.7
93,2021-04-20,0.49947,0.5313,0.468,0.52877,0.49947,0.5313,0.468,0.52877,278004526.2,278004526.2
94,2021-04-19,0.54483,0.56601,0.48858,0.49982,0.54483,0.56601,0.48858,0.49982,312750231.6,312750231.6
95,2021-04-18,0.5913,0.60041,0.4375,0.54459,0.5913,0.60041,0.4375,0.54459,455418601.4,455418601.4
96,2021-04-17,0.6099,0.644,0.58802,0.59137,0.6099,0.644,0.58802,0.59137,263520955.4,263520955.4
97,2021-04-16,0.63966,0.65371,0.56516,0.61005,0.63966,0.65371,0.56516,0.61005,376225078.7,376225078.7
98,2021-04-15,0.63509,0.6498,0.61387,0.63966,0.63509,0.6498,0.61387,0.63966,316537391.5,316537391.5
99,2021-04-14,0.65701,0.691,0.58555,0.63505,0.65701,0.691,0.58555,0.63505,619287714.6,619287714.6
100,2021-04-13,0.59051,0.684,0.57629,0.65701,0.59051,0.684,0.57629,0.65701,863195026.4,863195026.4
101,2021-04-12,0.58445,0.608,0.56614,0.59051,0.58445,0.608,0.56614,0.59051,481035300.1,481035300.1
102,2021-04-11,0.56193,0.6562,0.55521,0.5844,0.56193,0.6562,0.55521,0.5844,1387374053.6,1387374053.6
103,2021-04-10,0.48577,0.594,0.48176,0.56192,0.48577,0.594,0.48176,0.56192,807705249.0,807705249.0
104,2021-04-09,0.50488,0.50856,0.47696,0.48607,0.50488,0.50856,0.47696,0.48607,223808564.0,223808564.0
105,2021-04-08,0.47233,0.50522,0.46664,0.505,0.47233,0.50522,0.46664,0.505,294430470.5,294430470.5
106,2021-04-07,0.54206,0.5469,0.45195,0.47257,0.54206,0.5469,0.45195,0.47257,557970971.5,557970971.5
107,2021-04-06,0.53704,0.578,0.48034,0.54206,0.53704,0.578,0.48034,0.54206,883367345.9,883367345.9
108,2021-04-05,0.42859,0.54949,0.42202,0.53706,0.42859,0.54949,0.42202,0.53706,879513379.4,879513379.4
109,2021-04-04,0.40809,0.43464,0.40065,0.42851,0.40809,0.43464,0.40065,0.42851,220000117.4,220000117.4
110,2021-04-03,0.43912,0.45839,0.40587,0.40809,0.43912,0.45839,0.40587,0.40809,335192184.8,335192184.8
111,2021-04-02,0.4243,0.46853,0.4242,0.43897,0.4243,0.46853,0.4242,0.43897,489374356.2,489374356.2
112,2021-04-01,0.40578,0.42987,0.40034,0.4243,0.40578,0.42987,0.40034,0.4243,291671172.2,291671172.2
113,2021-03-31,0.40077,0.40701,0.37611,0.4056,0.40077,0.40701,0.37611,0.4056,211491017.1,211491017.1
114,2021-03-30,0.40445,0.41338,0.39782,0.40076,0.40445,0.41338,0.39782,0.40076,172128546.6,172128546.6
115,2021-03-29,0.39754,0.41327,0.39106,0.40446,0.39754,0.41327,0.39106,0.40446,186088553.4,186088553.4
116,2021-03-28,0.38195,0.41327,0.37797,0.39755,0.38195,0.41327,0.37797,0.39755,326410489.0,326410489.0
117,2021-03-27,0.38448,0.38996,0.37082,0.38185,0.38448,0.38996,0.37082,0.38185,113503078.7,113503078.7
118,2021-03-26,0.36135,0.38729,0.36034,0.3846,0.36135,0.38729,0.36034,0.3846,139086326.5,139086326.5
119,2021-03-25,0.36186,0.3705,0.34102,0.36112,0.36186,0.3705,0.34102,0.36112,213538495.2,213538495.2
120,2021-03-24,0.39488,0.40311,0.34776,0.36153,0.39488,0.40311,0.34776,0.36153,170494233.5,170494233.5
121,2021-03-23,0.39228,0.4087,0.38737,0.39518,0.39228,0.4087,0.38737,0.39518,197716138.5,197716138.5
122,2021-03-22,0.40348,0.42525,0.39,0.39238,0.40348,0.42525,0.39,0.39238,283685967.9,283685967.9
123,2021-03-21,0.41597,0.42372,0.39183,0.40347,0.41597,0.42372,0.39183,0.40347,257265778.0,257265778.0
124,2021-03-20,0.39485,0.43801,0.39205,0.41577,0.39485,0.43801,0.39205,0.41577,326157323.3,326157323.3
125,2021-03-19,0.39458,0.40221,0.38755,0.39486,0.39458,0.40221,0.38755,0.39486,126225533.1,126225533.1
126,2021-03-18,0.40278,0.40861,0.39329,0.39439,0.40278,0.40861,0.39329,0.39439,150306925.9,150306925.9
127,2021-03-17,0.39563,0.40495,0.38634,0.40268,0.39563,0.40495,0.38634,0.40268,168153959.2,168153959.2
128,2021-03-16,0.38428,0.41331,0.37297,0.39563,0.38428,0.41331,0.37297,0.39563,288485490.2,288485490.2
129,2021-03-15,0.38833,0.39923,0.36721,0.38429,0.38833,0.39923,0.36721,0.38429,188924935.0,188924935.0
130,2021-03-14,0.40658,0.40887,0.38762,0.38831,0.40658,0.40887,0.38762,0.38831,138069745.7,138069745.7
131,2021-03-13,0.38668,0.412,0.3754,0.40661,0.38668,0.412,0.3754,0.40661,193537671.9,193537671.9
132,2021-03-12,0.40562,0.40707,0.37739,0.38657,0.40562,0.40707,0.37739,0.38657,184560074.9,184560074.9
133,2021-03-11,0.40913,0.4129,0.39558,0.40564,0.40913,0.4129,0.39558,0.40564,176882401.1,176882401.1
134,2021-03-10,0.43192,0.43326,0.40583,0.40889,0.43192,0.43326,0.40583,0.40889,192310325.2,192310325.2
135,2021-03-09,0.41838,0.4348,0.41274,0.43186,0.41838,0.4348,0.41274,0.43186,234072475.5,234072475.5
136,2021-03-08,0.41265,0.421,0.40257,0.41821,0.41265,0.421,0.40257,0.41821,168682729.1,168682729.1
137,2021-03-07,0.40159,0.42238,0.40141,0.41265,0.40159,0.42238,0.40141,0.41265,161937065.9,161937065.9
138,2021-03-06,0.40489,0.40849,0.39204,0.40142,0.40489,0.40849,0.39204,0.40142,111400049.1,111400049.1
139,2021-03-05,0.41196,0.41282,0.38555,0.40483,0.41196,0.41282,0.38555,0.40483,176504438.4,176504438.4
140,2021-03-04,0.42081,0.4285,0.40119,0.41182,0.42081,0.4285,0.40119,0.41182,252643849.5,252643849.5
141,2021-03-03,0.41857,0.4386,0.41188,0.42052,0.41857,0.4386,0.41188,0.42052,226457001.6,226457001.6
142,2021-03-02,0.43101,0.43632,0.39655,0.41856,0.43101,0.43632,0.39655,0.41856,243838707.7,243838707.7
143,2021-03-01,0.40541,0.45,0.40001,0.43069,0.40541,0.45,0.40001,0.43069,253988523.4,253988523.4
144,2021-02-28,0.43845,0.45025,0.38,0.40587,0.43845,0.45025,0.38,0.40587,319632425.0,319632425.0
145,2021-02-27,0.40066,0.47171,0.3986,0.43792,0.40066,0.47171,0.3986,0.43792,527720260.4,527720260.4
146,2021-02-26,0.3808,0.40147,0.35457,0.4003,0.3808,0.40147,0.35457,0.4003,242047636.1,242047636.1
147,2021-02-25,0.40492,0.42545,0.37638,0.38022,0.40492,0.42545,0.37638,0.38022,203875233.6,203875233.6
148,2021-02-24,0.38647,0.43386,0.36763,0.40538,0.38647,0.43386,0.36763,0.40538,291623219.7,291623219.7
149,2021-02-23,0.46302,0.46503,0.31155,0.38652,0.46302,0.46503,0.31155,0.38652,623044562.2,623044562.2
150,2021-02-22,0.49601,0.527,0.38685,0.46363,0.49601,0.527,0.38685,0.46363,514911532.7,514911532.7
151,2021-02-21,0.48588,0.50862,0.47371,0.49601,0.48588,0.50862,0.47371,0.49601,204202452.3,204202452.3
152,2021-02-20,0.51278,0.53269,0.4556,0.48613,0.51278,0.53269,0.4556,0.48613,370786177.6,370786177.6
153,2021-02-19,0.49654,0.522,0.48249,0.51278,0.49654,0.522,0.48249,0.51278,255881661.4,255881661.4
154,2021-02-18,0.49748,0.51632,0.48312,0.49656,0.49748,0.51632,0.48312,0.49656,223141451.8,223141451.8
155,2021-02-17,0.48526,0.50971,0.45579,0.49737,0.48526,0.50971,0.45579,0.49737,236397721.7,236397721.7
156,2021-02-16,0.49449,0.518,0.46757,0.48534,0.49449,0.518,0.46757,0.48534,292280117.7,292280117.7
157,2021-02-15,0.51555,0.53999,0.42,0.49474,0.51555,0.53999,0.42,0.49474,569631456.7,569631456.7
158,2021-02-14,0.56454,0.57784,0.49296,0.51591,0.56454,0.57784,0.49296,0.51591,416999858.1,416999858.1
159,2021-02-13,0.52851,0.60692,0.50753,0.56456,0.52851,0.60692,0.50753,0.56456,884628802.95,884628802.95
160,2021-02-12,0.45608,0.53635,0.43639,0.52853,0.45608,0.53635,0.43639,0.52853,608050495.29,608050495.29
161,2021-02-11,0.41495,0.47,0.41043,0.45604,0.41495,0.47,0.41043,0.45604,550048930.0,550048930.0
162,2021-02-10,0.40018,0.44696,0.372,0.41495,0.40018,0.44696,0.372,0.41495,672940856.83,672940856.83
163,2021-02-09,0.3966,0.40567,0.3824,0.40022,0.3966,0.40567,0.3824,0.40022,343877325.8,343877325.8
164,2021-02-08,0.38535,0.4035,0.37319,0.3966,0.38535,0.4035,0.37319,0.3966,515153861.5,515153861.5
165,2021-02-07,0.37766,0.4225,0.36265,0.3854,0.37766,0.4225,0.36265,0.3854,1182745261.43,1182745261.43
166,2021-02-06,0.35164,0.398,0.33586,0.37739,0.35164,0.398,0.33586,0.37739,616921269.0,616921269.0
167,2021-02-05,0.32597,0.36284,0.325,0.35155,0.32597,0.36284,0.325,0.35155,512517525.3,512517525.3
168,2021-02-04,0.34672,0.34999,0.31244,0.32569,0.34672,0.34999,0.31244,0.32569,326942654.9,326942654.9
169,2021-02-03,0.33932,0.34872,0.3292,0.3467,0.33932,0.34872,0.3292,0.3467,294482311.6,294482311.6
170,2021-02-02,0.32354,0.34999,0.31735,0.33932,0.32354,0.34999,0.31735,0.33932,484489799.8,484489799.8
171,2021-02-01,0.30704,0.36961,0.29236,0.32323,0.30704,0.36961,0.29236,0.32323,1090168896.0,1090168896.0
172,2021-01-31,0.32847,0.33949,0.29323,0.30704,0.32847,0.33949,0.29323,0.30704,658606929.2,658606929.2
173,2021-01-30,0.29327,0.365,0.27944,0.32791,0.29327,0.365,0.27944,0.32791,1176619630.2,1176619630.2
174,2021-01-29,0.29329,0.38367,0.2856,0.29322,0.29329,0.38367,0.2856,0.29322,1835251498.9,1835251498.9
175,2021-01-28,0.23767,0.30377,0.23203,0.29306,0.23767,0.30377,0.23203,0.29306,462056226.7,462056226.7
176,2021-01-27,0.26156,0.26228,0.2301,0.23779,0.26156,0.26228,0.2301,0.23779,164626281.3,164626281.3
177,2021-01-26,0.26094,0.26518,0.24836,0.26144,0.26094,0.26518,0.24836,0.26144,152994432.0,152994432.0
178,2021-01-25,0.27139,0.27714,0.25974,0.26102,0.27139,0.27714,0.25974,0.26102,187688410.0,187688410.0
179,2021-01-24,0.26976,0.2831,0.2622,0.27138,0.26976,0.2831,0.2622,0.27138,219146598.3,219146598.3
180,2021-01-23,0.26928,0.27957,0.26302,0.26977,0.26928,0.27957,0.26302,0.26977,206829031.3,206829031.3
181,2021-01-22,0.25125,0.282,0.227,0.26941,0.25125,0.282,0.227,0.26941,417369524.6,417369524.6
182,2021-01-21,0.29364,0.29492,0.24288,0.2514,0.29364,0.29492,0.24288,0.2514,296818169.1,296818169.1
183,2021-01-20,0.29775,0.30193,0.27346,0.29358,0.29775,0.30193,0.27346,0.29358,312544139.1,312544139.1
184,2021-01-19,0.3053,0.31995,0.29,0.29748,0.3053,0.31995,0.29,0.29748,492748733.2,492748733.2
185,2021-01-18,0.30368,0.30929,0.29303,0.30544,0.30368,0.30929,0.29303,0.30544,276589020.7,276589020.7
186,2021-01-17,0.29075,0.3194,0.286,0.3038,0.29075,0.3194,0.286,0.3038,543229586.6,543229586.6
187,2021-01-16,0.28389,0.3119,0.2768,0.29075,0.28389,0.3119,0.2768,0.29075,465267798.2,465267798.2
188,2021-01-15,0.3035,0.31376,0.2589,0.28374,0.3035,0.31376,0.2589,0.28374,473470475.2,473470475.2
189,2021-01-14,0.30382,0.3244,0.28758,0.3035,0.30382,0.3244,0.28758,0.3035,509036633.7,509036633.7
190,2021-01-13,0.27991,0.31,0.272,0.30356,0.27991,0.31,0.272,0.30356,508938545.3,508938545.3
